timestamp,text,like_count,reply_count,author,trailer_id,sentiment_score,datetime,used_for_model,used_for_visualization
2015-04-01T16:00:42,"""Our art is a reflection of our reality.” Check out the exclusive trailer premiere of Straight Outta Compton. https://youtu.be/oyoew4T74_w",541,76,MTV,oyoew4T74_w,0.2,2015-04-01 16:00:42,True,True
2015-04-01T16:18:38,Can't wait for this to come out!,1,0,Ary Mahmood,oyoew4T74_w,0.0,2015-04-01 16:18:38,True,True
2015-04-01T16:21:47,Best movie of the year! 💯  -NWA Straight Outta Compton,6,0,Aneko505,oyoew4T74_w,0.6,2015-04-01 16:21:47,True,True
2015-04-01T16:23:36,this gone be hard ,0,16,Credoqp,oyoew4T74_w,-0.2916666666666667,2015-04-01 16:23:36,True,True
2015-04-01T16:38:47,This movie gonna be a M A S T E R P I E C E! STRAIGHT OUTTA COMPTON!,4,0,just living the dream u dig?,oyoew4T74_w,0.25,2015-04-01 16:38:47,True,True
2015-04-01T16:40:18,Gangsta Shit!!! Yeah! can't wait :D,1,0,Achiko Arjevanidze,oyoew4T74_w,0.255859375,2015-04-01 16:40:18,True,True
2015-04-01T16:50:26, #ExpressYourself  ,0,0,Carissa Rossi,oyoew4T74_w,0.0,2015-04-01 16:50:26,True,True
2015-04-01T16:50:53,"EAZY-E IS BACK!!! U can see the Godfather in the dope dayz, suffering with criminal life but after all that... RISING with N.W.A on the TRAILER. HE WAS A REAL LIFE HOOD HERO WHO BUILD A HUGE LEGACY.PERIOD!",4,7,Vinícius Lemes,oyoew4T74_w,0.07500000000000002,2015-04-01 16:50:53,True,True
2015-04-01T17:19:41,Snoooop,1,0,Schmamsch,oyoew4T74_w,0.0,2015-04-01 17:19:41,True,True
2015-04-01T17:21:59,Omg omg omg!!!!!! This looks sooooooo good😆😆😆😆😆,2,0,ShadyRules2001__,oyoew4T74_w,0.0,2015-04-01 17:21:59,True,True
2015-04-01T17:22:56,Fresh beats,0,0,edibeats,oyoew4T74_w,0.3,2015-04-01 17:22:56,True,True
2015-04-01T17:24:56,"All this happened before my time and I don't really know what this is about, but this seems crazy interesting.",34,9,The Auxiliary,oyoew4T74_w,0.03333333333333335,2015-04-01 17:24:56,True,True
2015-04-01T17:44:55,not a word about Ren and Yella.... we'll see,216,21,ShotgunLenny,oyoew4T74_w,0.0,2015-04-01 17:44:55,True,True
2015-04-01T17:45:32,Shitty acting but it do look dope,0,0,Solace,oyoew4T74_w,0.0,2015-04-01 17:45:32,True,True
2015-04-01T17:49:51,Can't Fucking Wait!!!!!!!!!,2,0,King_Jay2000,oyoew4T74_w,-1.0,2015-04-01 17:49:51,True,True
2015-04-01T17:50:02,This trailer make everything more interesting.,14,0,AM 04:11,oyoew4T74_w,0.5,2015-04-01 17:50:02,True,True
2015-04-01T17:55:39,Looks unbelievable dope.,49,0,lionxx,oyoew4T74_w,-0.25,2015-04-01 17:55:39,True,True
2015-04-01T18:00:00,"It looks like theyre wearing costumes, its really distracting lol",0,0,Adrian,oyoew4T74_w,0.5,2015-04-01 18:00:00,True,True
2015-04-01T18:07:30,Eazy - E !,1,0,lil cypek,oyoew4T74_w,0.0,2015-04-01 18:07:30,True,True
