timestamp,text,like_count,reply_count,author,trailer_id,sentiment_score,datetime,used_for_model,used_for_visualization
2018-03-12T13:00:03,"Der brandneue I Feel Pretty #Trailer ist da, mit Amy Schumer, Michelle Williams & Rafe Spall in den Hauptrollen. 🙂  Vergiss nicht unser Video mit deinen Freunden zu teilen!  Mehr Infos findest Du hier: https://kinocheck.de/film/pal/i-feel-pretty-2018",127,2,KinoCheck,Mlv6F-alpbE,0.3125,2018-03-12 13:00:03,True,True
2018-03-12T13:01:17,Erster,5,3,LKeydiggaabodschMSmistersanojinblack STRAIGHTCORNER,Mlv6F-alpbE,0.0,2018-03-12 13:01:17,True,True
2018-03-12T13:10:57,Bitte nicht Amy Schumer,288,1,Joker,Mlv6F-alpbE,0.0,2018-03-12 13:10:57,True,True
2018-03-12T13:14:02,4ter,1,0,Deniz 79c,Mlv6F-alpbE,0.0,2018-03-12 13:14:02,True,True
2018-03-12T13:16:20,Bleibt einem denn gar nichts erspart  ...,124,2,LadungsBlitz,Mlv6F-alpbE,0.0,2018-03-12 13:16:20,True,True
2018-03-12T13:19:54,Ihh Schumer,42,3,dwit sha,Mlv6F-alpbE,0.0,2018-03-12 13:19:54,True,True
2018-03-12T13:23:23,Der Anfang gefiel mir aber was dann kam BYE,78,5,strawberrycheesecake !,Mlv6F-alpbE,0.0,2018-03-12 13:23:23,True,True
2018-03-12T13:35:06,Amy Schumer? Durch was hat sie denn ihren fucking fame verdient?,49,13,Timon Sarbach,Mlv6F-alpbE,-0.6,2018-03-12 13:35:06,True,True
2018-03-12T13:37:03,Oh wei ... als wäre Amy Schumer nicht schon schlimm genug,62,4,check mate,Mlv6F-alpbE,0.0,2018-03-12 13:37:03,True,True
2018-03-12T13:41:24,"Kein Kommentar. Wow, diese Ironie...",6,0,Maxim Schamber,Mlv6F-alpbE,0.1,2018-03-12 13:41:24,True,True
2018-03-12T13:55:44,Wow fett,4,1,lalsaksjdhfggggs,Mlv6F-alpbE,0.1,2018-03-12 13:55:44,True,True
2018-03-12T13:59:00,"Boah, diese Fat Acceptance -Propaganda hängt einem auch langsam zum Hals raus...",31,3,willi,Mlv6F-alpbE,-0.1,2018-03-12 13:59:00,True,True
2018-03-12T14:20:23,Oh Gott,2,7,TheMrBlanky,Mlv6F-alpbE,0.0,2018-03-12 14:20:23,True,True
2018-03-12T14:21:09,"Ist mir nicht fett genug, da muss richtig was zum greifen dran sein.",70,6,NanoPolymer,Mlv6F-alpbE,0.0,2018-03-12 14:21:09,True,True
2018-03-12T14:41:44,so eine beschissene frauenpropaganda scho in filmen unglaublich einfach nur noch diese welt.,31,13,Robert no[Jack],Mlv6F-alpbE,0.0,2018-03-12 14:41:44,True,True
2018-03-12T15:02:44,Hab es gemeldet. Sowas sollte hier nicht sein. Das können auch Kinder sehen....,6,4,Felix Friedrich,Mlv6F-alpbE,0.0,2018-03-12 15:02:44,True,True
2018-03-12T15:06:18,Voll toll . Kp was ihr alle habt,273,46,nobody here,Mlv6F-alpbE,0.0,2018-03-12 15:06:18,True,True
2018-03-12T15:06:21,Echt fett..,3,0,Ninon Alpa,Mlv6F-alpbE,0.0,2018-03-12 15:06:21,True,True
2018-03-12T15:19:13,Amy schummer should just stop,1,0,KIN DRED,Mlv6F-alpbE,0.0,2018-03-12 15:19:13,True,True
2018-03-12T15:22:36,Hauptsache die Möchtegern olle sieht danach trzdem fett aus.,12,3,XxRoyaleVoltage xX,Mlv6F-alpbE,0.0,2018-03-12 15:22:36,True,True
2018-03-12T15:27:32,Sie was vorher fett und nachher fett ? Was ist der Sinn hierbei?,11,4,Lukas Aumüller,Mlv6F-alpbE,0.0,2018-03-12 15:27:32,True,True
2018-03-12T15:36:28,Was ist eigentlich euer Problem!? Wtf. Ich find den Film mega geil xD,359,5,Cate Blanchett's Affair,Mlv6F-alpbE,0.0,2018-03-12 15:36:28,True,True
2018-03-12T15:46:40,"Ich les hier nur voll negative Kommentare, aber ehrlich gesagt find ich, dass der Film wirkt, als würde das Angucken Spaß machen :)",540,4,Natalie Döhring,Mlv6F-alpbE,0.1,2018-03-12 15:46:40,True,True
2018-03-12T15:52:57,"Uuuund noch etwas was das Fett sein verherrlicht... Klar werden immer mehr Menschen übergewichtig. Es ist ja schön und gut etwas Selbstwertgefühl zu haben, aber man braucht sich doch nicht so nen Schwachsinn einzureden. (Ich weiss dass sie sich das im Film nicht einredet, weil sie sich den Kopf gestossen hat und seitdem so denkt, aber ich rede von der Realität.)",7,6,Elactix-Nova,Mlv6F-alpbE,0.0,2018-03-12 15:52:57,True,True
2018-03-12T16:00:30,Die soll einfach erkennen das sie fett und Hässlich ist.😂  Es gibt in der Welt sowiso nichts peinlicheres als diese body positivity Bewegung.,1,5,Gilgarbro _,Mlv6F-alpbE,0.0,2018-03-12 16:00:30,True,True
2018-03-12T16:05:31,"Sieht gut aus. Aber wahrscheinlich wird sie am Ende realisieren das sie immer noch so aussieht wie vorher, total zerstört sein und dann doch feststellen das ihr Selbstwertgefühl sie schön macht.",16,1,Elysian,Mlv6F-alpbE,0.0,2018-03-12 16:05:31,True,True
2018-03-12T16:12:53,Ein Film bei dem ich wahrscheinlich wegen Fremdschämen nur spulen würde.,20,2,Julia,Mlv6F-alpbE,0.0,2018-03-12 16:12:53,True,True
2018-03-12T16:15:19,#BadBitch,1,0,Berkan Mor,Mlv6F-alpbE,0.0,2018-03-12 16:15:19,True,True
2018-03-12T16:15:26,Go Amy Go!,27,0,LouisNeinDochOhh,Mlv6F-alpbE,0.0,2018-03-12 16:15:26,True,True
2018-03-12T16:29:49,omg Leute was habt ihr denn bitteschön für nen Knall😳😂 ihr glaubt auch alle ihr seid was besseres oh mein gott wie ekelhaft ihr seid. bäh🤮🤢,92,6,Philip Hütter,Mlv6F-alpbE,0.0,2018-03-12 16:29:49,True,True
2018-03-12T16:57:55,Diese syncro,0,1,Thomas Weidovsky,Mlv6F-alpbE,0.0,2018-03-12 16:57:55,True,True
2018-03-12T17:00:41,ich glaub ich muss kotzen,2,0,Calvarius,Mlv6F-alpbE,0.0,2018-03-12 17:00:41,True,True
2018-03-12T17:04:33,AMY SCHUMER,1,0,Missespeach,Mlv6F-alpbE,0.0,2018-03-12 17:04:33,True,True
2018-03-12T17:12:47,"Meeeeein Gott, reißt euch mal zusammen! Ja, man kann es als “Propaganda für die Fat-Acceptance“ sehen, na und? Sich zu akzeptieren wie man ist, ist für übergewichtige Leute nicht einfach. Vllt hilft ihnen so ein film. Man muss sich doch selber mögen!",204,25,TheGhostOfYoutubeMassakerIsHere jea,Mlv6F-alpbE,-0.125,2018-03-12 17:12:47,True,True
2018-03-12T17:33:02,lol vagina XDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD LMAO,3,0,LadislausDragulia,Mlv6F-alpbE,0.7,2018-03-12 17:33:02,True,True
2018-03-12T17:43:01,"Amy Schumer = der schlechteste Comedian der Welt...  Oder nein, sie ist gar kein Comedian... schrecklich...",2,1,Goigoi,Mlv6F-alpbE,0.0,2018-03-12 17:43:01,True,True
2018-03-12T17:49:34,Fat Acceptance Propaganda,1,0,BaronUltimo,Mlv6F-alpbE,-0.1,2018-03-12 17:49:34,True,True
2018-03-12T17:54:44,"Also: Während die Aussage: ""Du bist schön, wie du bist"" ja vollkommen in Ordnung ist und dem schwachsinnigen ""Uh, ich bin ein Hungerhaken, seht mich an"" eigentlich ganz gut Paroli bieten mag, ist dieses: ""Ich bin übergewichtig und das ist gut so"" der falsche Ansatz. Man darf nicht den Fehler machen und Übergewicht schön reden. Andersherum sollte man auch niemanden deshalb diskriminieren - auch wenn es schwer fällt, da nehme ich mich nicht aus. Einen Film darüber zu drehen sendet eindeutig das falsche Signal und gerade im Land der Extreme - USA - sollte man es besser wissen. -Thematik zwar auch schon häufiger aufgegriffen aber nicht schlecht gewählt - dann aber falsch aufbereitet (vielleicht im Film dann aber doch mit einem anderen Twist - wenn auch unwahrscheinlich) -schauspielerische Leistung typisch für amerikanische Komödien Alles weitere uninteressant, da schon der Trailer nicht überzeugen kann und ein Kinobesuch deshalb hinfällig wird.",3,4,Bernhard Stil,Mlv6F-alpbE,-0.125,2018-03-12 17:54:44,True,True
2018-03-12T18:07:11,"Die ganzen Hater. Oje! Ne 5 in Englisch und noch nie einen Stand-Up Auftritt von ihr gesehen, aber erst mal die Gülle auskübeln, weil sie dick ist. Ihre Stand-Up Autritte sind zum Brüllen komisch. Natürlich nur, wenn man die Sprache versteht.",42,11,Evelyn Zucker,Mlv6F-alpbE,0.0,2018-03-12 18:07:11,True,True
2018-03-12T18:30:49,"Yay, ein Film in dem der einzige WItz ""Guck mal, die is fett"" ist...und am ende wahrscheinlich eine pseudo feel-good Botschaft von wegen ""Alle sind hübsch, egal ob dick oder dünn""...aber davor erstmal 90 min über Dicke gelacht",11,3,Lliad89,Mlv6F-alpbE,0.0,2018-03-12 18:30:49,True,True
2018-03-12T18:31:20,Cringe,18,0,Wiz-211,Mlv6F-alpbE,0.0,2018-03-12 18:31:20,True,True
2018-03-12T18:47:42,Amy Schumer ist ssssooooo unlustig!,2,0,Edwin Ebert,Mlv6F-alpbE,0.0,2018-03-12 18:47:42,True,True
2018-03-12T19:00:36,Hahahaha ich hasse fette Menschen lol,1,4,Marian Hammerbacher,Mlv6F-alpbE,0.5,2018-03-12 19:00:36,True,True
2018-03-12T19:07:50,"Der Titel sagt mir was... singt das nicht irgendwer in irgendeiner Komödie?... Ich glaube Adam Sandler. Youtube suche half: https://www.youtube.com/watch?v=Kmv3WlKa6U8 Toller film :) ""Die Wutprobe""",0,0,Loony,Mlv6F-alpbE,0.16666666666666669,2018-03-12 19:07:50,True,True
2018-03-12T20:26:15,Omg die hätten ja echt niemanden beser besetzen können als Amy schumer 😂😍,864,14,Slyth,Mlv6F-alpbE,0.0,2018-03-12 20:26:15,True,True
2018-03-12T20:36:33,"Was heißt hier ""Fat-Acceptance Propaganda nervt""? Das ist ja nicht die Message des Films. Die hätten auch eine Hauptfigur dahinstellen können, die eine fleckige Haut hat, ´zu dünn´ ist oder generell nicht so aussieht wie es Leute als ""normal"" bezeichnen (das meine eine Frau ohne Modelmaße nimmt ist da das leichteste). Es geht darum, sich so zu akzeptieren wie man sich selbst mag und seine persönlichen Stärken zu lieben! Nobodys perfect...aber Selbstbewusstsein macht nunmal verdammt sexy.",57,8,Ana Konig,Mlv6F-alpbE,0.19583333333333333,2018-03-12 20:36:33,True,True
2018-03-12T20:47:09,Checkt ihr alle hier die Botschaft des Filmes nicht ? Der Film will vermitteln dass man das ist was man von einem selbst denkt. Denkst du die ganze Zeit nur schlechtes über dich fühlst du dich auch schlecht. Der Film sagt dir dass du dich lieben sollst und Menschen auch erkennen wie toll du bist wenn du es ihnen zeigst,1446,23,Leona,Mlv6F-alpbE,0.0,2018-03-12 20:47:09,True,True
2018-03-12T21:40:29,"Ohne jemanden persönlich angreifen zu wollen, dieser Trailer ist cringe pur",2,1,arminmue,Mlv6F-alpbE,0.0,2018-03-12 21:40:29,True,True
2018-03-12T22:23:23,Uebergewicht ist ungesund. Verstehe nicht wie man sowas gutheissen kann.,25,9,MSKommando,Mlv6F-alpbE,0.0,2018-03-12 22:23:23,True,True
2018-03-12T23:06:19,Song?,0,0,Joram S,Mlv6F-alpbE,0.0,2018-03-12 23:06:19,True,True
2018-03-13T02:05:21,"Ich verstehe. Es ist witzig, weil sie fett und häßlich ist.     Aber leider nicht komisch.",4,0,Anton Veli Tajan,Mlv6F-alpbE,0.0,2018-03-13 02:05:21,True,True
