timestamp,text,like_count,reply_count,author,trailer_id,sentiment_score,datetime,used_for_model,used_for_visualization
2015-04-30T13:30:15,"So, where are the Titans...?",87,27,AlonsoVarEmreis,R-R9JY4le7k,0.0,2015-04-30 13:30:15,True,True
2015-04-30T14:10:34,...this might be good,0,0,jerry arnold,R-R9JY4le7k,0.7,2015-04-30 14:10:34,True,True
2015-04-30T14:53:54,"This is actually a lie, not truth.",2,1,Leoric Satanas,R-R9JY4le7k,0.0,2015-04-30 14:53:54,True,True
2015-04-30T17:17:58,"Apart form being a fiction, cool trailer.",0,0,Deprogrammer1,R-R9JY4le7k,0.35,2015-04-30 17:17:58,True,True
2015-04-30T17:51:26,Sweet lod jesus,0,0,Nekminute,R-R9JY4le7k,0.35,2015-04-30 17:51:26,True,True
2015-04-30T18:35:24,"January release. Good it can rot with all the other garbage that comes out around that time. Pretty sure the numerous inventors and scientists discoveries are individually more important then a fictional event about someone who never really existed. But I guess you can't make an exciting  action packed movie about Issac Newton, Tesla, Einstein, or Alan turning. ",24,13,Rotten Egg Creations,R-R9JY4le7k,0.22954545454545452,2015-04-30 18:35:24,True,True
2015-04-30T19:38:30,Looks pretty good. ,0,0,John Wolf,R-R9JY4le7k,0.475,2015-04-30 19:38:30,True,True
2015-05-01T15:41:30,Romans did not kill for religion!,6,4,Vaibhav Ahire,R-R9JY4le7k,0.0,2015-05-01 15:41:30,True,True
2015-05-02T20:21:52,So it's the eldest zombie hunting history! I hope the roman gets it quick so it can't spread his infectious condition to the population and generation to come.,0,0,Lemunt Picard,R-R9JY4le7k,0.3333333333333333,2015-05-02 20:21:52,True,True
2015-05-02T20:55:21,"I bet, Risen 2 will be about pirate",51,3,sstiiluss,R-R9JY4le7k,0.0,2015-05-02 20:55:21,True,True
2015-05-02T23:02:08,I SMELL A TURKEY,2,0,PeterJacksonFanLOTR,R-R9JY4le7k,0.0,2015-05-02 23:02:08,True,True
2015-05-06T03:25:06,Its amazing how the very utterance of the name of Jesus offends people.  He came to save us all!!!  The reason we are in the mess we are in the world is because we have not fully understood His sacrifice and would rather stay blind and deaf to the love He has shone us!!!!  ,4,1,Ernest&Anna Petrone,R-R9JY4le7k,0.263125,2015-05-06 03:25:06,True,True
2015-05-12T13:47:31,"Sigh, another mythological story. Just remember kids, there is no historical proof of Christianity until 380 AD. Prior to that there is nothing / no proof of the Xian religion. Just think about that for awhile. And yes Xians, Archaeologists world wide have been trying to prove the Xian story and have found nothing to prove it prior to 380 AD.",0,4,Chronic Crippler,R-R9JY4le7k,-0.025,2015-05-12 13:47:31,True,True
2015-05-15T22:08:36,"You know guys it takes more courage and class to respect others who are different or believe different than you do. Christians at least I and others don't go around cussing people out or name calling or put down others who do not believe in Jesus, you have your opinions, I respect it,  I don't hate others because they don't see as I do, but why do none Christians get so offended at something they don't believe in or hate us because we love Jesus, Christians are not suppose to be offended or hate on those who do not believe too, but it does not mean be a door mat either ! but we should be able to express our faith respectively. whether you love Jesus or not. can we not appreciate fellow human beings ?.  my job is not to convert any one its Gods job. My job is too mirror Christ. Hope everyone can appreciate that :)",0,0,sheila khan,R-R9JY4le7k,-0.01068287037037039,2015-05-15 22:08:36,True,True
2015-05-19T14:59:29,Epic!,0,0,Nafis Gjika,R-R9JY4le7k,0.125,2015-05-19 14:59:29,True,True
2015-05-20T12:27:18,1 dollars the end of the movie is about the return of the messiah ! (sarcasm),0,0,Ramses Amon RA,R-R9JY4le7k,0.0,2015-05-20 12:27:18,True,True
2015-05-23T14:13:31,Hit like if you think Jesus created EDM.,0,0,5aral,R-R9JY4le7k,0.0,2015-05-23 14:13:31,True,True
2015-05-24T23:06:07,Did Jehovah witnesses make this movie,0,0,J Why,R-R9JY4le7k,0.0,2015-05-24 23:06:07,True,True
2015-05-25T04:47:57,"The most important event in human history? That is no more valid than claiming that the Battle of Gondor is the most important event in human history. They're both dramatic, engaging bits of fiction.",3,0,lisarenee3505,R-R9JY4le7k,0.1685185185185185,2015-05-25 04:47:57,True,True
2015-05-27T04:53:41,Exactly where religious bs belongs. In the realm of fiction.,2,0,Hollie Urbaschak,R-R9JY4le7k,0.125,2015-05-27 04:53:41,True,True
2015-05-27T15:43:27,Correction: The most important event in Christian history.,1,0,Mad Alice: A Tribute to Alice in Chains & Mad Season,R-R9JY4le7k,0.3,2015-05-27 15:43:27,True,True
2015-05-27T18:48:03,What's the soundtrack called???? PS: I can't wait to go and see this!!!!!!,1,0,Charley J,R-R9JY4le7k,0.0,2015-05-27 18:48:03,True,True
