timestamp,text,like_count,reply_count,author,trailer_id,sentiment_score,datetime,used_for_model,used_for_visualization
2014-12-17T19:23:29,Danm,0,0,Will Jackson,O96og_f-Omk,0.0,2014-12-17 19:23:29,True,True
2014-12-17T20:42:40,This is a little bit too reminiscent o Grand Budapest Hotel for me. ,1,0,Devin Traplin,O96og_f-Omk,0.10416666666666667,2014-12-17 20:42:40,True,True
2014-12-17T20:52:20,"Loved the first one, I hope this one doesn't disappoint! It looks great so far, though :) (""Are you pimping out your own mother?"" Wonderful.)",43,1,MacduffProd,O96og_f-Omk,0.5732142857142858,2014-12-17 20:52:20,True,True
2014-12-17T21:33:37,Bullshit ,0,0,ZXxsniperMsrXx,O96og_f-Omk,0.0,2014-12-17 21:33:37,True,True
2014-12-17T21:41:30,man he's come a long way since Skins,46,0,Darkest Argentum,O96og_f-Omk,-0.05,2014-12-17 21:41:30,True,True
2014-12-17T21:48:06,Nice one Dev ,1,0,zyphyr0000,O96og_f-Omk,0.6,2014-12-17 21:48:06,True,True
2014-12-17T22:46:32,AMWAR!!,0,0,Nora van hummelen,O96og_f-Omk,0.0,2014-12-17 22:46:32,True,True
2014-12-17T23:51:10,Do a video on how much it would cost to be Kevin McCalester from Home Alone hahaha,1,0,Jared Turacy,O96og_f-Omk,0.2,2014-12-17 23:51:10,True,True
2014-12-17T23:53:32,jhoom barabar jhoom song from 2007 movie with this name.movie sucks but song as u like,0,0,Vishvendra singh,O96og_f-Omk,-0.3,2014-12-17 23:53:32,True,True
2014-12-18T01:00:04,"Lol, it looks funny ",3,0,Mudita Y.,O96og_f-Omk,0.525,2014-12-18 01:00:04,True,True
2014-12-18T01:34:13,Indian dancing in movies are always entertaining to watch. ,26,0,specs0530,O96og_f-Omk,0.5,2014-12-18 01:34:13,True,True
2014-12-18T02:04:02,Skins!,0,0,Kiki70701,O96og_f-Omk,0.0,2014-12-18 02:04:02,True,True
2014-12-18T03:18:14,Put Maggie Smith & Judi Dench in any movie & I'm all in!!,2,0,Anna-Marie•Rᴏɢᴜᴇ Stark,O96og_f-Omk,0.0,2014-12-18 03:18:14,True,True
2014-12-18T03:44:47,looks like piece of shit,0,0,hyperion,O96og_f-Omk,-0.2,2014-12-18 03:44:47,True,True
2014-12-18T04:21:43,piece of shit,1,1,maNukush,O96og_f-Omk,-0.2,2014-12-18 04:21:43,True,True
2014-12-18T05:12:21,Automatic watch! Just because Dev Patel is in it :),1,0,ThaYoungWolf,O96og_f-Omk,0.5,2014-12-18 05:12:21,True,True
2014-12-18T06:56:17,"i always love how Hollywood produce Indian films, like what they did for ""The 100 Foot Journey"", magnificent!",6,0,C M,O96og_f-Omk,0.75,2014-12-18 06:56:17,True,True
2014-12-18T07:03:18,So this is what the Slumdog did with all that money,319,9,TrenTonStackZ,O96og_f-Omk,0.0,2014-12-18 07:03:18,True,True
2014-12-18T11:39:01,REMINDS ME HARRY POTTER,1,0,ilmars,O96og_f-Omk,0.0,2014-12-18 11:39:01,True,True
2014-12-18T13:13:21,"Am i the only one or he was just trying to act like lilly singh ""iisuperwomanii""",11,2,Abdulhadi Alamshan,O96og_f-Omk,0.0,2014-12-18 13:13:21,True,True
2014-12-18T14:41:13,"So this is what Neal got up to when he was on the run! :D Cool, definitely going to watch.",3,0,Justforthemusic bb,O96og_f-Omk,0.45,2014-12-18 14:41:13,True,True
2014-12-18T14:57:26,Hotel Budapets Rip off ...,0,3,Bryan Ulpi,O96og_f-Omk,0.0,2014-12-18 14:57:26,True,True
2014-12-18T16:28:58,Que emoción.,0,0,Edwin Gil,O96og_f-Omk,0.0,2014-12-18 16:28:58,True,True
2014-12-18T16:49:54,I'm just waiting for my next movie oops #confirmed,0,0,ViciousGhee,O96og_f-Omk,0.2,2014-12-18 16:49:54,True,True
2014-12-18T19:08:49,"Would be nice if the cast of The Expendables dropped in too. They wouldn't really be out of place, demographic-wise.",14,0,Buenomars,O96og_f-Omk,0.4,2014-12-18 19:08:49,True,True
2014-12-18T21:49:44,Nice movie,0,0,SuperChiko4000,O96og_f-Omk,0.6,2014-12-18 21:49:44,True,True
2014-12-19T06:26:26,Hmmm... You have to admit that this idea of a movie is fresh at least on your side of the world. ,4,2,shogrran,O96og_f-Omk,0.0,2014-12-19 06:26:26,True,True
2014-12-19T07:55:35,cousin violet and lady grantham at it again!!,0,0,Mehg T,O96og_f-Omk,0.0,2014-12-19 07:55:35,True,True
2014-12-19T09:17:13,"LOLZ join the club, Richard Gere!",0,0,pickgirl,O96og_f-Omk,0.0,2014-12-19 09:17:13,True,True
2014-12-19T09:53:32,hope this sequel wouldnt disappoint me. the first one was pretty good,0,0,kailen gray,O96og_f-Omk,0.39999999999999997,2014-12-19 09:53:32,True,True
2014-12-19T10:09:58,"Did.. did anyone else find this trailer a bit racist? I don't know why, but an entirely white cast with the only main Indian actor acting like a goofball while the rest of the locals act like servants really gave me a racist vibe.",96,51,Kin,O96og_f-Omk,0.07333333333333333,2014-12-19 10:09:58,True,True
2014-12-19T10:44:51,"I am so happy that the Best Exotic Marigold Hotel got a sequel.. I can't believe it! It's one of my favorite films to date. I miss the cast, they are funny!",33,2,Inusara Films,O96og_f-Omk,0.6475,2014-12-19 10:44:51,True,True
2014-12-20T00:43:57,Why would they make a sequel?? Its not like the first one was a hit!!,0,2,Harshvir Latta,O96og_f-Omk,0.390625,2014-12-20 00:43:57,True,True
2014-12-20T06:57:16,"When I saw the screenshot of this video, I thought of the Pineapple Express Oscars skit where James Franco's character mistaken ""The Love Guru"" as ""Slumdog Millionaire""",1,0,Lala,O96og_f-Omk,0.5,2014-12-20 06:57:16,True,True
2014-12-20T14:59:09,"Million dollar Arm ,The big foot Journey and now this one...........loving Hollywood making in Indian concepts.......",1,0,Bishwajit Paul,O96og_f-Omk,0.0,2014-12-20 14:59:09,True,True
2014-12-20T21:45:48,"why would they make dev patel talk with that accent , his accent is british in real life  and why oh why that god awful song....its already been done to death in bolywood",1,0,Adit Patnaik,O96og_f-Omk,-0.26666666666666666,2014-12-20 21:45:48,True,True
2014-12-20T22:56:25,"So, this is an Indian actor faking an Indian accent. Seems legit. ",151,16,Estivel Garcia,O96og_f-Omk,0.0,2014-12-20 22:56:25,True,True
2014-12-21T07:13:00,is it me or does this look a little racist. now i know there are alot of indian guys out there that sound and act like that but seriously couldn't they have picked a more serious and modern character of that ethnicity with a normal accent rather then this cliche piece of shit. ,28,14,Nasir Ansari,O96og_f-Omk,0.02447916666666667,2014-12-21 07:13:00,True,True
2014-12-21T19:59:15,Is the guy from skins,2,0,Kempis Aljaer García De la Torre,O96og_f-Omk,0.0,2014-12-21 19:59:15,True,True
2014-12-22T05:58:01,Can't wait to see it,1,0,slick vick,O96og_f-Omk,0.0,2014-12-22 05:58:01,True,True
2014-12-24T01:56:34,como se llama la musica del trilerrrrrrrrrrrrrrrrrrr,0,0,Best Zed Las,O96og_f-Omk,0.0,2014-12-24 01:56:34,True,True
2014-12-24T06:09:41,Alladin as Dev Patel. I'll pay to watch that on the big screen!!!! Too bad the original genie has past.,0,0,Tria F,O96og_f-Omk,-0.14374999999999996,2014-12-24 06:09:41,True,True
2014-12-24T16:36:04,look how all of u are jealous of indians not ur fault we got all ur jobs ;),21,8,arjun singh,O96og_f-Omk,0.25,2014-12-24 16:36:04,True,True
2014-12-31T00:22:20,Anwar from Skins! ,1,0,Maddie Serban,O96og_f-Omk,0.0,2014-12-31 00:22:20,True,True
2015-01-01T09:39:25,Hey its Anwar from skins!! I love him.,5,0,Hwall's Heart,O96og_f-Omk,0.5,2015-01-01 09:39:25,True,True
2015-01-02T12:36:57,It's the Dowager and Isobelle Crawley! :P,0,0,Rose Lustre,O96og_f-Omk,0.75,2015-01-02 12:36:57,True,True
2015-01-02T14:22:00,Well now we have a movie in which a person with Indian origin has to use a fake Indian accent to look Indian,0,0,bhavesh,O96og_f-Omk,-0.5,2015-01-02 14:22:00,True,True
2015-01-03T01:15:44,So M is still alive and apparently enjoying retirement. ,2,0,Empty Cup,O96og_f-Omk,0.3,2015-01-03 01:15:44,True,True
2015-01-04T16:09:58,Can't Wait! Can't Wait! Can't Wait! Can't Wait! Can't Wait! xD,0,0,Linda Fúnez,O96og_f-Omk,0.0,2015-01-04 16:09:58,True,True
2015-01-05T08:37:44,"For the record i am an indian, i  have lived in India all my life, and i do not have THAT accent! Please stop spreading stereotypes Fox! ",1,0,Atandra Anwesh,O96og_f-Omk,0.0,2015-01-05 08:37:44,True,True
2015-01-05T22:58:27,"Reading the comments lets me know that no one has seen the first movie and are making idiotic, uninformed conclusions. My suggestion is that you skip this one, too.",4,0,liberalmind,O96og_f-Omk,-0.20833333333333331,2015-01-05 22:58:27,True,True
2015-01-09T04:00:22,Anyone know the name of the song when they are all dancing? I like it!!!,7,4,Dank951,O96og_f-Omk,0.0,2015-01-09 04:00:22,True,True
2015-01-10T23:26:16,i love dev patel he is so funny and cute,0,0,homieblossom,O96og_f-Omk,0.4166666666666667,2015-01-10 23:26:16,True,True
2015-01-11T01:07:44,Slumdog owns a hotel chain and built Chappie too. Boy gets around.,1,2,Claire Mitzuki,O96og_f-Omk,0.0,2015-01-11 01:07:44,True,True
2015-01-20T16:10:14,y cant everyone shutup and enjoy the trailer and hopefully the movie too! i don't find it racist or any kind of shit!,8,0,BOHO GIRL,O96og_f-Omk,0.2833333333333334,2015-01-20 16:10:14,True,True
2015-02-03T16:05:47,BUT THATS NOT EVEN HOW INDIANS SPEAK DOH!!! Ugh this movie is gonna be floppy.,0,7,Vlogstafy,O96og_f-Omk,0.0,2015-02-03 16:05:47,True,True
2015-02-04T12:21:42,this is a best movie...1st one is too gud & i believe this will also..it's worth for watching that hw english people explore the culture of india....,1,0,PRIYANSHU MITTAL,O96og_f-Omk,0.43333333333333335,2015-02-04 12:21:42,True,True
2015-02-11T14:50:32,i love it,0,0,Kamaljit Singh,O96og_f-Omk,0.5,2015-02-11 14:50:32,True,True
2015-02-12T18:28:08,All great actors. I will watch it. ,0,0,1mikon,O96og_f-Omk,0.8,2015-02-12 18:28:08,True,True
2015-02-16T07:25:51,"I saw the first movie and loved it ,now a second has come out and i hope it is just as good ,people let go of your  i have to pull everything to peices lives and just enjoy it ,it is a bloody movie for gods sake its fiction i think to many of you take life to seriously and when you wake up and realize it then it will be to late to change , lighten up enjoy it",0,0,crispernator,O96og_f-Omk,0.15166666666666667,2015-02-16 07:25:51,True,True
2015-02-16T18:10:07,"This looks amazing, possibly better than the first one. :')",2,0,Jenna,O96og_f-Omk,0.45,2015-02-16 18:10:07,True,True
2015-02-19T06:24:00,Song name is jhoom barabar jhoom,0,0,Abhishek Gupta,O96og_f-Omk,0.0,2015-02-19 06:24:00,True,True
2015-02-26T20:43:32,Seeing this tommorow!,2,0,Lucy G,O96og_f-Omk,0.0,2015-02-26 20:43:32,True,True
2015-02-28T06:15:24,retirement home,0,0,Rishabh Jain,O96og_f-Omk,0.0,2015-02-28 06:15:24,False,True
2015-02-28T15:06:20,"I would love to see this movie, because it promote India Tourism and Indian Culture.",7,1,JOHNNY CREPAUL,O96og_f-Omk,0.5,2015-02-28 15:06:20,False,True
2015-03-01T11:57:37,Saw this last night it was amazing !:),33,4,Ellisha McKenna,O96og_f-Omk,0.4166666666666667,2015-03-01 11:57:37,False,True
2015-03-01T12:43:28,This one is better than the first in my opinion 😊 ,1,0,Beth Foster,O96og_f-Omk,0.375,2015-03-01 12:43:28,False,True
2015-03-01T14:37:15,I want to see this looks so fun!!!,0,0,Cheri Marderosian,O96og_f-Omk,0.5859375,2015-03-01 14:37:15,False,True
2015-03-03T23:55:50,"Great film. Went to see it this evening and noth me and my friend thought it was warm, funny, charming and feel good. In my ipinion it was a true sequel and better than the first film.  Celia Imrie and Maggie Smith both deliver fine performances and really get to shine. ",1,0,Kessa,O96og_f-Omk,0.47666666666666674,2015-03-03 23:55:50,False,True
2015-03-05T08:21:01,Looking forward to watching it,0,0,avatar572,O96og_f-Omk,0.0,2015-03-05 08:21:01,False,True
2015-03-06T06:49:38,"""Are you pimping out your own mother?"" xD OMG",1,0,Hail Hydra,O96og_f-Omk,0.6,2015-03-06 06:49:38,False,True
2015-03-07T00:03:08,Saw this today and it was amazing! Recommend. ,0,0,aq x,O96og_f-Omk,0.7500000000000001,2015-03-07 00:03:08,False,True
2015-03-07T05:02:36,I love india...I wanted to experience india with someine but I guess that was not the right person...india is so special you must live it....this movie is great,7,0,Juana Maria Gomez,O96og_f-Omk,0.4158441558441558,2015-03-07 05:02:36,False,True
2015-03-10T10:33:46,    ,0,0,Nathaniel Key,O96og_f-Omk,0.0,2015-03-10 10:33:46,False,True
2015-03-10T11:53:51,great fun.........and exotic to a US;er,0,0,Saint Boudreau,O96og_f-Omk,0.65,2015-03-10 11:53:51,False,True
2015-03-12T04:38:20,Is it just me because I feel like I've watched this movie before... ,0,0,Tim-Tam3,O96og_f-Omk,0.0,2015-03-12 04:38:20,False,True
2015-03-14T05:27:34,Hollywood/pollywood which one?,0,1,John Smith,O96og_f-Omk,0.0,2015-03-14 05:27:34,False,True
2015-03-19T13:41:18,What is the indian song that was playing through the trailer? I am addicted to it!,0,2,Rina,O96og_f-Omk,-0.5,2015-03-19 13:41:18,False,True
2015-03-20T01:45:41,Dev patel looks is adorable as sunny,0,0,Usha Kandari,O96og_f-Omk,0.5,2015-03-20 01:45:41,False,True
2015-03-20T18:52:55,Saw the movie  Loved it!!!!!,0,0,Merietta susan,O96og_f-Omk,1.0,2015-03-20 18:52:55,False,True
2015-03-30T22:04:55,Maggie Smith the female Michael Cain... :P,0,0,Robin Francis,O96og_f-Omk,0.375,2015-03-30 22:04:55,False,True
2015-04-02T15:04:57,does anybody know the first song? (not Jhoom Barabar Jhoom),1,2,DK W.,O96og_f-Omk,0.25,2015-04-02 15:04:57,False,True
2015-04-09T10:45:23,lol i love the fact that they used Jhoom Barabar Jhoom theme song. ,1,0,Nour Makky,O96og_f-Omk,0.65,2015-04-09 10:45:23,False,True
2015-04-10T09:13:40,trailer look Awesome!was waiting for the sequel....loves the first one,1,0,190miranda,O96og_f-Omk,0.25,2015-04-10 09:13:40,False,True
2015-04-28T16:10:13,Please can anyone tell me is it worth watching the movie.I wanted to watch it at the cinema but not sure if it's good or not.The triller seems really boring.Idk :/,0,1,Monika Perkovic,O96og_f-Omk,0.13999999999999999,2015-04-28 16:10:13,False,True
2015-05-12T13:19:24,"""Lordy Lord, have mercy on my ovaries,"" said every fangirl ever.",32,0,N D,O96og_f-Omk,0.0,2015-05-12 13:19:24,False,True
2015-05-13T05:41:47,wonderful movie,0,0,Driver Motor,O96og_f-Omk,1.0,2015-05-13 05:41:47,False,True
2015-05-18T18:01:30,I ABSOLUTELY LOVED THE FIRST ONE! CAnt wait anymore for 2nd ...  Bill Nighy And Judi Dench Make a Phenomenal Couple!!!!!!!!!!!!!!!!!!!!!!!,1,0,right spyder,O96og_f-Omk,0.503125,2015-05-18 18:01:30,False,True
2015-06-04T05:04:10,Como se llaman las canciones?,0,0,Leandro gomez carrera,O96og_f-Omk,0.0,2015-06-04 05:04:10,False,False
2015-06-23T22:52:01,pass,0,0,Zatwoine,O96og_f-Omk,0.0,2015-06-23 22:52:01,False,False
