timestamp,text,like_count,reply_count,author,trailer_id,sentiment_score,datetime,used_for_model,used_for_visualization
2017-05-16T16:49:30,primer comentario yesss,0,0,steven romero,WMdzBwsZRX8,0.0,2017-05-16 16:49:30,True,True
2017-05-16T16:49:30,first 😂😈,0,0,X CHANNEL,WMdzBwsZRX8,0.25,2017-05-16 16:49:30,True,True
2017-05-16T16:50:09,its unexpected,0,0,nantha kumar,WMdzBwsZRX8,0.1,2017-05-16 16:50:09,True,True
2017-05-16T16:50:41,Is this base on the game?,0,0,White Wolf,WMdzBwsZRX8,-0.6000000000000001,2017-05-16 16:50:41,True,True
2017-05-16T16:51:06,1st...... view &like,1,0,Storm Breaker,WMdzBwsZRX8,0.0,2017-05-16 16:51:06,True,True
2017-05-16T16:51:46,First there were video game movies now there are board and card game movies... what's next? A Yahtzee movie?,16,3,E. P.,WMdzBwsZRX8,-0.1375,2017-05-16 16:51:46,True,True
2017-05-16T17:06:17,I remember this match.,3,0,Calvin George,WMdzBwsZRX8,0.0,2017-05-16 17:06:17,True,True
2017-05-16T17:08:04,Early,0,0,Siegey Things,WMdzBwsZRX8,0.1,2017-05-16 17:08:04,True,True
2017-05-16T17:13:26,Elizabeth Shue is in this! Cool!,2,0,popeye697,WMdzBwsZRX8,0.4375,2017-05-16 17:13:26,True,True
2017-05-16T17:13:31,Directors running out of ideas for good movies... this looks shit...,42,8,Healthy Magnum,WMdzBwsZRX8,0.24999999999999997,2017-05-16 17:13:31,True,True
2017-05-16T17:14:33,that  emma  thomnel   could  bee  a  great meme,0,0,yasco gulli,WMdzBwsZRX8,0.8,2017-05-16 17:14:33,True,True
2017-05-16T17:14:58,That was a very calm Stone,19,0,George Wu,WMdzBwsZRX8,0.39000000000000007,2017-05-16 17:14:58,True,True
2017-05-16T17:15:54,They want all the perks without any of the work,55,28,Komyar N'Doul,WMdzBwsZRX8,0.0,2017-05-16 17:15:54,True,True
2017-05-16T17:18:57,Academy Award Winner Emma Stone everyone,496,9,Autsada,WMdzBwsZRX8,0.0,2017-05-16 17:18:57,True,True
2017-05-16T17:19:08,does anybody here google 'the battle of the sexes' after watching this trailer?,2,0,Quan Giang,WMdzBwsZRX8,0.0,2017-05-16 17:19:08,True,True
2017-05-16T17:22:36,Holywood guideline in 2017: * SuperMovie: (Guardians of galaxy 2)................................ CHECK * Remake/Spin-off/Sequel/Pre-sequel... (Alien Covenant) CHECK. * Feminazi Bullshit.....................................................IN PROGRESS,56,9,David Carrillo,WMdzBwsZRX8,-0.5,2017-05-16 17:22:36,True,True
2017-05-16T17:22:46,isn't bobby Briggs brick?,1,0,cool stu,WMdzBwsZRX8,0.0,2017-05-16 17:22:46,True,True
2017-05-16T17:24:10,Looks like fun. 😆,2,0,Chris Corley,WMdzBwsZRX8,0.3,2017-05-16 17:24:10,True,True
2017-05-16T17:25:02,What the fuck I just watched??????????,34,3,Atharva Shinde,WMdzBwsZRX8,-0.4,2017-05-16 17:25:02,True,True
2017-05-16T17:25:06,"Great, feminism now gets its own movie. Make men look like assholes etc. Etc.",36,5,Dave Gunner,WMdzBwsZRX8,0.7,2017-05-16 17:25:06,True,True
2017-05-16T17:26:58,Love it looks fun and history helps to know how it ends!,10,0,Tina Loye,WMdzBwsZRX8,0.4375,2017-05-16 17:26:58,True,True
2017-05-16T17:28:28,suicide inducing,0,0,S,WMdzBwsZRX8,0.0,2017-05-16 17:28:28,True,True
2017-05-16T17:30:47,this is a true story yeah?,386,22,smellyderpface,WMdzBwsZRX8,0.35,2017-05-16 17:30:47,True,True
2017-05-16T17:32:42,And the award for the most feministic movie coming out this year goes to this movie.....so far,47,14,J,WMdzBwsZRX8,0.3,2017-05-16 17:32:42,True,True
2017-05-16T17:38:40,Oh come on are y'all masculinity that fragile? I'm a man myself and don't get a tiny bit offended by this. stop acting like damn pussies.,256,21,jeremie osbourne,WMdzBwsZRX8,0.0,2017-05-16 17:38:40,True,True
2017-05-16T17:38:56,Yet another forgettable leftist agenda movie.,51,20,Rob Fulco,WMdzBwsZRX8,-0.275,2017-05-16 17:38:56,True,True
2017-05-16T17:41:09,Emma Stone playing bulldyke Billie Jean King? Ugh...,0,0,gaylord mcgillicuddy,WMdzBwsZRX8,0.0,2017-05-16 17:41:09,True,True
2017-05-16T17:41:39,"I can't cannot see Emma Stone. Personality-wise, she is great. But I wish to see her lose herself to a role some time, in the future.",15,1,Ha Ta,WMdzBwsZRX8,0.4,2017-05-16 17:41:39,True,True
2017-05-16T17:43:14,what's the song playing in the back ground? can someone please let me know? thanks.,0,3,rickie-rae carter,WMdzBwsZRX8,0.1,2017-05-16 17:43:14,True,True
2017-05-16T17:44:02,"If she's a feminist, why is he playing the bad guy? Feminism is the new cancer, that's why!",14,13,Sarcastic Duck,WMdzBwsZRX8,-0.2647727272727272,2017-05-16 17:44:02,True,True
2017-05-16T17:45:14,Hollywood propaganda again...,71,8,Paul Masters,WMdzBwsZRX8,-0.1,2017-05-16 17:45:14,True,True
2017-05-16T17:46:00,We all know that men are better,35,21,R,WMdzBwsZRX8,0.5,2017-05-16 17:46:00,True,True
2017-05-16T17:46:09,To my memory Emma Stone looks just like Billie Jean King.,101,4,Darrell Sturrock,WMdzBwsZRX8,0.0,2017-05-16 17:46:09,True,True
2017-05-16T17:47:06,"Another movie glorifying man hating.......let me guess, she wins..... We don't need to see it, we know how it goes.",55,11,Raggi86,WMdzBwsZRX8,0.3,2017-05-16 17:47:06,True,True
2017-05-16T17:48:47,This is evil defined. Stop this propaganda.,20,6,wcm5150,WMdzBwsZRX8,-0.55,2017-05-16 17:48:47,True,True
2017-05-16T17:48:49,"I'm simple, I see Emma Stone I click.",3,0,Roshni Samuel,WMdzBwsZRX8,0.0,2017-05-16 17:48:49,True,True
2017-05-16T17:50:55,Feminazi movies coming in 3.2.1......2017....,35,9,kebycz kebcz,WMdzBwsZRX8,0.0,2017-05-16 17:50:55,True,True
2017-05-16T17:51:27,the wolf of wall street,0,0,Edrees Edrees,WMdzBwsZRX8,0.0,2017-05-16 17:51:27,True,True
2017-05-16T17:52:53,1973: A 29 year old woman beats a 55 year old man in tennis.: EMPOWERMENT!  2017: Transgender wins women's weightlifting tournament(setting a record): SEXISM!,232,19,ascentaur,WMdzBwsZRX8,0.19999999999999998,2017-05-16 17:52:53,True,True
2017-05-16T17:54:51,All their thumbnails make me wondering if it's actually that actor or actress,0,0,JangJangBoomBoom,WMdzBwsZRX8,0.0,2017-05-16 17:54:51,True,True
2017-05-16T17:54:55,where is sex??,0,2,prince66670,WMdzBwsZRX8,0.0,2017-05-16 17:54:55,True,True
2017-05-16T17:55:25,Why are men so easily offended? It's just a movie.....,190,25,Rami Mikati,WMdzBwsZRX8,0.43333333333333335,2017-05-16 17:55:25,True,True
2017-05-16T17:57:24,Obviously the cocky guy's going to lose... what's the point of the movie?,0,0,Anshuman Bhattacharyya,WMdzBwsZRX8,-0.1,2017-05-16 17:57:24,True,True
2017-05-16T17:58:48,am i the only one who hates emma,0,1,Prakash Babu,WMdzBwsZRX8,0.0,2017-05-16 17:58:48,True,True
2017-05-16T18:03:30,something i find funny is that pretty much all the comments here is males saying that feminism is cancer and they are not gonna see the movie and blah blah blah. And yet they still went to see the trailer......that's interesting....very interesting.,421,54,KS,WMdzBwsZRX8,0.3,2017-05-16 18:03:30,True,True
2017-05-16T18:04:49,post feminism is cancer,0,0,Best N Texas,WMdzBwsZRX8,0.0,2017-05-16 18:04:49,True,True
2017-05-16T18:04:51,"Every guy offended by this is weird. Like this was an actual thing that happened. Bobby Riggs and Billie Jean King competed in a Battle of the Sexes in 1973. Bobby Riggs challenged HER. And Bobby Riggs was an actual blatant sexist. If you somehow feel that Billie Jean King is personally attacking you for your masculinity 44 years after all of this took place, then maybe you just have a guilty conscious. Maybe you're just a fragile human being with a fragile ego.",915,48,Sam Warren,WMdzBwsZRX8,-0.13999999999999999,2017-05-16 18:04:51,True,True
2017-05-16T18:05:42,1:05,0,0,Straight Fire,WMdzBwsZRX8,0.0,2017-05-16 18:05:42,True,True
2017-05-16T18:09:19,"Okay so they make movies about discriminating religions and followers of entire religions, false depiction of lives of Prophets, movies about race discrimination, etc (SO MANY TOPICS TO BE TRIGGERED BOUT) and y'all getting all fucked up coz they made a movie supporting unreal feminism? Act more like men.",0,0,M.K Steel,WMdzBwsZRX8,0.10714285714285712,2017-05-16 18:09:19,True,True
2017-05-16T18:10:42,Disgusting!,3,1,ElEternoPoetaLuis,WMdzBwsZRX8,-1.0,2017-05-16 18:10:42,True,True
2017-05-16T18:14:40,the cow (feminism) is still young...keep milkin it folks!!,0,0,Rahul Saxena,WMdzBwsZRX8,-0.20833333333333331,2017-05-16 18:14:40,True,True
2017-05-16T18:18:16,"MEN BAD, WOMEN GOOD",1,0,D2attemp,WMdzBwsZRX8,5.551115123125783e-17,2017-05-16 18:18:16,True,True
2017-05-16T18:22:39,Introducing Steve Carell as Mike Meyers,0,0,Ondřej Bláha,WMdzBwsZRX8,0.0,2017-05-16 18:22:39,True,True
2017-05-16T18:24:52,"Michael Scott's back, haha",0,0,UNDERWATERSQUAD666,WMdzBwsZRX8,0.1,2017-05-16 18:24:52,True,True
2017-05-16T18:26:07,"Well, Arge with a ativist feminist that man are diferent other to other... And you are wrong, unless you say that every man are rapist at their base of Nature... Who is the afected by weird ideas? Just see many videos on YouTube recorded, its not coincidence... Say an good morning, and by bad mood, they say you are... Imoral. Unless you are lesbian, thats ok, its safe... As If they didnt had a man FATHER protecting them since child.",0,0,Rubem Artur,WMdzBwsZRX8,-0.05499999999999998,2017-05-16 18:26:07,True,True
2017-05-16T18:28:15,emma is genius,148,14,Margaret,WMdzBwsZRX8,0.0,2017-05-16 18:28:15,True,True
2017-05-16T18:28:33,"a tennis match between a man and a woman made into a film titled the battle of the sexes, ye be real do you honestly think this movie would have still been made if the guy won?",106,23,jason todd,WMdzBwsZRX8,0.4,2017-05-16 18:28:33,True,True
2017-05-16T18:29:42,"Billie Jean King won the match 6–4, 6–3, 6–3 . No point in watching the movie now, aw well",0,0,Eric Thomson,WMdzBwsZRX8,0.0,2017-05-16 18:29:42,True,True
2017-05-16T18:33:33,"Awesome trailer , hope the movie will tooo awesome",0,0,Mooo SalahDosa,WMdzBwsZRX8,1.0,2017-05-16 18:33:33,True,True
