timestamp,text,like_count,reply_count,author,trailer_id,sentiment_score,datetime,used_for_model,used_for_visualization
2019-06-10T14:57:31,1st,1,0,Alias Noname,zPXqwAGmX04,0.0,2019-06-10 14:57:31,True,True
2019-06-10T14:57:40,First,0,0,PCH Tommy,zPXqwAGmX04,0.25,2019-06-10 14:57:40,True,True
2019-06-10T14:57:41,Pass,5,0,King_ Savage15,zPXqwAGmX04,0.0,2019-06-10 14:57:41,True,True
2019-06-10T14:57:42,First,0,0,Trappy z,zPXqwAGmX04,0.25,2019-06-10 14:57:42,True,True
2019-06-10T14:57:45,Can’t wait,1,0,Neil Sutherland,zPXqwAGmX04,0.0,2019-06-10 14:57:45,True,True
2019-06-10T14:57:46,Good!,0,0,K SRI HARSHA,zPXqwAGmX04,0.875,2019-06-10 14:57:46,True,True
2019-06-10T14:57:49,First,0,0,Chun Uchiha,zPXqwAGmX04,0.25,2019-06-10 14:57:49,True,True
2019-06-10T14:57:53,❤️❤️❤️,1,0,Bros Channel,zPXqwAGmX04,0.0,2019-06-10 14:57:53,True,True
2019-06-10T14:58:07,Watching Degrassi right now😭,1,0,N1,zPXqwAGmX04,0.2857142857142857,2019-06-10 14:58:07,True,True
2019-06-10T14:58:13,2nd,0,0,CHAUDHRY 092,zPXqwAGmX04,0.0,2019-06-10 14:58:13,True,True
2019-06-10T14:58:28,"I AM SO HYPE FOR THIS ADULT CHILD MOVIE,, GOOD TRAILER, I THINK I CAN WATCH THIS MOVIE 3 TIMES",163,17,Nelviano Michello,zPXqwAGmX04,0.39999999999999997,2019-06-10 14:58:28,True,True
2019-06-10T14:59:14,Universal studios making/supporting flop movies? This movie just a shit 😡,0,0,sweetness,zPXqwAGmX04,-0.1,2019-06-10 14:59:14,True,True
2019-06-10T14:59:47,Soy Park,1,0,Tawny Owl,zPXqwAGmX04,0.0,2019-06-10 14:59:47,True,True
2019-06-10T15:00:18,Lmfao,0,0,Carmine Unate,zPXqwAGmX04,0.0,2019-06-10 15:00:18,True,True
2019-06-10T15:00:29,Lit...can't wait,1,0,justin johnson,zPXqwAGmX04,0.0,2019-06-10 15:00:29,True,True
2019-06-10T15:00:43,Yes I’m ready,0,0,Zenon Quiroz,zPXqwAGmX04,0.2,2019-06-10 15:00:43,True,True
2019-06-10T15:01:32,Why do girls in movies know so much while the boys are just dumb about it?,16,8,Soma Nith,zPXqwAGmX04,-0.0875,2019-06-10 15:01:32,True,True
2019-06-10T15:01:35,"1:01   Where is molly  I’ll do you one better , “who is molly”    I’ll do you one better ,  “why is Molly?”",986,28,notkabirsikand,zPXqwAGmX04,0.5,2019-06-10 15:01:35,True,True
2019-06-10T15:02:02,This movie lit and the sneak tra,0,0,Tyler Kramer,zPXqwAGmX04,0.0,2019-06-10 15:02:02,True,True
2019-06-10T15:02:53,1:25 *“It has been like this ever since I was a baby.”* *I can't stop laughing!! 🤣🤣*,325,6,Jamie Kyaw,zPXqwAGmX04,0.0,2019-06-10 15:02:53,True,True
2019-06-10T15:03:22,Any Tamilanzzz?,3,0,Praveen Dhanasekar,zPXqwAGmX04,0.0,2019-06-10 15:03:22,True,True
2019-06-10T15:03:57,This is what happens to Jacob Tremblay after Room.,753,12,Arcy Meneses,zPXqwAGmX04,0.0,2019-06-10 15:03:57,True,True
2019-06-10T15:10:03,Middle school version of SuperBad?   I’m good actually.,2412,33,OGMillyMillz,zPXqwAGmX04,0.2333333333333333,2019-06-10 15:10:03,True,True
2019-06-10T15:10:53,Superbad with 11 yr olds 😂😂😂😂😂 I’m in,2,2,XE NO,zPXqwAGmX04,0.0,2019-06-10 15:10:53,True,True
2019-06-10T15:12:33,*Who all thought this was a Bad Boys spin-off!* 🤣,1,1,Breezeme105,zPXqwAGmX04,-0.8749999999999998,2019-06-10 15:12:33,True,True
2019-06-10T15:15:45,My neighbor is Nymphomaniac 🤣🤣,60,2,Prathmesh Tiwari,zPXqwAGmX04,0.0,2019-06-10 15:15:45,True,True
2019-06-10T15:17:38,Didnt this get delayed,0,0,Dylan Morrow,zPXqwAGmX04,0.0,2019-06-10 15:17:38,True,True
2019-06-10T15:25:24,"What you mean Hollywood finally made a movie that is not about women taking over the place and acting like feminists and sjw. Thank you lord, there is god",3,2,Danny Wilson,zPXqwAGmX04,-0.10416666666666667,2019-06-10 15:25:24,True,True
2019-06-10T15:29:02,😂,0,0,Marcelo del Rosario,zPXqwAGmX04,0.0,2019-06-10 15:29:02,True,True
2019-06-10T15:32:43,Who would have thought Jacob Tremblay would have participated in one of these movies he did do the movie wonder.,8,2,thisismyusername,zPXqwAGmX04,0.0,2019-06-10 15:32:43,True,True
2019-06-10T15:34:58,This looks awful. It looks like the only thing it has going for it is kids being crude... and that’s just not enough.,2,0,Brandon L,zPXqwAGmX04,-0.425,2019-06-10 15:34:58,True,True
2019-06-10T15:37:22,Trust me i will never stop watching this Movie and will be a legacy to my son one day,0,0,Ares WarMan,zPXqwAGmX04,0.0,2019-06-10 15:37:22,True,True
2019-06-10T15:37:31,Holy shit that was hilarious,11,0,Andre,zPXqwAGmX04,0.15,2019-06-10 15:37:31,True,True
2019-06-10T15:40:49,Booksmart has the same soundtrack 😂😂,11,0,Teja venkat,zPXqwAGmX04,0.0,2019-06-10 15:40:49,True,True
2019-06-10T15:42:26,South Park in real life,8896,128,Yoshimaniac,zPXqwAGmX04,0.2,2019-06-10 15:42:26,True,True
2019-06-10T15:48:28,This is gonna be a great movie of those kids! But they can't allowed to the theater!,31,1,ShivaEishwar,zPXqwAGmX04,1.0,2019-06-10 15:48:28,True,True
2019-06-10T15:52:04,1:56-2:06 Me trying to open a pickle jar Thanks for the likes,367,6,Josiah Harper,zPXqwAGmX04,0.1,2019-06-10 15:52:04,True,True
2019-06-10T15:53:39,Like a cross between South Park and Superbad. Can't wait.,0,0,Wes Papes,zPXqwAGmX04,0.0,2019-06-10 15:53:39,True,True
2019-06-10T15:58:24,THEY COULDNT OPEN THE VITAMINS HAHAAA,4,0,jesse badger,zPXqwAGmX04,0.0,2019-06-10 15:58:24,True,True
2019-06-10T16:03:43,"These kids rock. U go 2 that party dude. They like South Park kids... slip it them, Bow Chicka Bow Wow. LOL 🍺🍻🍻🍻🍺",19,0,CHURCH KYLO REN,zPXqwAGmX04,0.45,2019-06-10 16:03:43,True,True
2019-06-10T16:04:03,That's the kid from The Predator.,36,3,CHURCH KYLO REN,zPXqwAGmX04,0.0,2019-06-10 16:04:03,True,True
2019-06-10T16:17:06,Son of Superbad,3,0,reg mcg,zPXqwAGmX04,0.0,2019-06-10 16:17:06,True,True
