timestamp,text,like_count,reply_count,author,trailer_id,sentiment_score,datetime,used_for_model,used_for_visualization
2019-11-07T16:02:14,YES,1,0,Jamin Thompson,dSBsNeYqh-k,0.0,2019-11-07 16:02:14,True,True
2019-11-07T16:02:40,First,1,0,Anish DB,dSBsNeYqh-k,0.25,2019-11-07 16:02:40,True,True
2019-11-07T16:02:58,Wow,0,0,Mohamad Salman Alfarisi,dSBsNeYqh-k,0.1,2019-11-07 16:02:58,True,True
2019-11-07T16:03:04,HE IS A RAPIST !!! 😔,0,0,Fayslay_,dSBsNeYqh-k,0.0,2019-11-07 16:03:04,True,True
2019-11-07T16:03:16,Who else love this channel,9,3,BlueTeeOfficial,dSBsNeYqh-k,0.5,2019-11-07 16:03:16,True,True
2019-11-07T16:03:37,ooooof course she gets blacked,3,0,IRON,dSBsNeYqh-k,0.0,2019-11-07 16:03:37,True,True
2019-11-07T16:03:55,The invisible harasser,274,5,Fury Reset,dSBsNeYqh-k,0.0,2019-11-07 16:03:55,True,True
2019-11-07T16:05:08,Reminds me of the movie Hollow Man🤔,12,2,Pablo Mendoza,dSBsNeYqh-k,-0.1,2019-11-07 16:05:08,True,True
2019-11-07T16:05:09,Hi,0,0,Gumball Watterson,dSBsNeYqh-k,0.0,2019-11-07 16:05:09,True,True
2019-11-07T16:05:27,Waiting............................................................,0,0,Mr. F I X X,dSBsNeYqh-k,0.0,2019-11-07 16:05:27,True,True
2019-11-07T16:05:57,You'll never see him coming,0,0,Meme Lord,dSBsNeYqh-k,0.0,2019-11-07 16:05:57,True,True
2019-11-07T16:06:03,This looks like a promising reboot the Invisible Man.,328,21,Robert Locke,dSBsNeYqh-k,0.2,2019-11-07 16:06:03,True,True
2019-11-07T16:06:09,Wowwwwww🥰,0,0,vassan muthuraj,dSBsNeYqh-k,0.0,2019-11-07 16:06:09,True,True
2019-11-07T16:06:11,Well guess I don't need to see that movie thanks you f****** trailer,1,1,n8 dizzle,dSBsNeYqh-k,0.2,2019-11-07 16:06:11,True,True
2019-11-07T16:06:38,Hi,1,0,Isaac Lewinson Vids,dSBsNeYqh-k,0.0,2019-11-07 16:06:38,True,True
2019-11-07T16:06:43,Wowwwwww🥰,0,0,vassan muthuraj,dSBsNeYqh-k,0.0,2019-11-07 16:06:43,True,True
2019-11-07T16:06:45,Super Trailer #invisibul man,0,0,Rd Trailers,dSBsNeYqh-k,0.3333333333333333,2019-11-07 16:06:45,True,True
2019-11-07T16:07:07,awesome trailer,0,0,govind mangla,dSBsNeYqh-k,1.0,2019-11-07 16:07:07,True,True
2019-11-07T16:07:12,All that for his wifes nude huh?  Seems hes desperate,1,0,TheDared Vermin,dSBsNeYqh-k,-0.6,2019-11-07 16:07:12,True,True
2019-11-07T16:07:25,You Can't see me 😎,0,0,Naveen The Incredible,dSBsNeYqh-k,0.0,2019-11-07 16:07:25,True,True
2019-11-07T16:07:29,Finally! Sh*t. Been waiting for this movie for what seems like forever.,12,2,Chris Lasekan,dSBsNeYqh-k,0.0,2019-11-07 16:07:29,True,True
2019-11-07T16:07:36,Thanks. Just watched the whole movie,0,1,Egwu Victor,dSBsNeYqh-k,0.2,2019-11-07 16:07:36,True,True
2019-11-07T16:07:40,"No, I'm over here, dear",0,0,H o t r e t a r d e d c h i X,dSBsNeYqh-k,0.0,2019-11-07 16:07:40,True,True
2019-11-07T16:07:43,"This does look interesting. Much better than that Mummy Reboot with Tom Cruise, in my opinion. More Psychological and Terrifying. Emphasis. ON. Terrifying.",14,1,Chase Hedges67,dSBsNeYqh-k,-0.08333333333333333,2019-11-07 16:07:43,True,True
2019-11-07T16:07:50,✌🤓,0,0,Kavi Arasu,dSBsNeYqh-k,0.0,2019-11-07 16:07:50,True,True
2019-11-07T16:08:01,Where's the Invisible Man I can't see him??,0,3,ANGELUIZ,dSBsNeYqh-k,0.0,2019-11-07 16:08:01,True,True
2019-11-07T16:08:05,I remember when Johnny Depp was supposed to play the Invisible Man,1345,70,Starry Jo,dSBsNeYqh-k,0.0,2019-11-07 16:08:05,True,True
2019-11-07T16:08:13,Pretty cool update of a classic tho.,0,1,msf the1st,dSBsNeYqh-k,0.25555555555555554,2019-11-07 16:08:13,True,True
2019-11-07T16:08:23,"Wow, thanks for letting me watch the whole movie for free Universal!",2,3,Uncannyx,dSBsNeYqh-k,0.18,2019-11-07 16:08:23,True,True
2019-11-07T16:08:29,R RATED???? wow yesssssss,0,0,J. Rambo,dSBsNeYqh-k,0.1,2019-11-07 16:08:29,True,True
2019-11-07T16:08:32,"Ok... wow... I'll give them credit, this actually looks interesting",90,0,CatPaste,dSBsNeYqh-k,0.275,2019-11-07 16:08:32,True,True
2019-11-07T16:08:35,Elizabeth moss is the reason I am here,0,0,j. nicholl,dSBsNeYqh-k,0.0,2019-11-07 16:08:35,True,True
2019-11-07T16:08:37,Awsome Movie,0,0,Lovel Aujla,dSBsNeYqh-k,0.0,2019-11-07 16:08:37,True,True
2019-11-07T16:08:37,The invisible man will get the Dark Universe back on track.,9,7,Mody,dSBsNeYqh-k,-0.075,2019-11-07 16:08:37,True,True
2019-11-07T16:08:40,Looks decent,0,0,Flavortown Gaming,dSBsNeYqh-k,0.16666666666666666,2019-11-07 16:08:40,True,True
2019-11-07T16:08:41,"So hollow man, not gonna lie it looks good",0,0,Musical Raven,dSBsNeYqh-k,0.3,2019-11-07 16:08:41,True,True
2019-11-07T16:08:50,Is it in the universe of the mummy,0,0,M. Saqib Ansari,dSBsNeYqh-k,0.0,2019-11-07 16:08:50,True,True
2019-11-07T16:08:56,It's hollow man,0,0,PApeR ToWNs,dSBsNeYqh-k,-0.1,2019-11-07 16:08:56,True,True
2019-11-07T16:09:03,Wow thanks for ruining a classic,0,1,Michael,dSBsNeYqh-k,0.15555555555555556,2019-11-07 16:09:03,True,True
2019-11-07T16:09:08,The Dark Universe take 2.,1,0,ComiXProvider FTW_02,dSBsNeYqh-k,-0.15,2019-11-07 16:09:08,True,True
2019-11-07T16:09:15,The invisible sociopath man,1,0,Moïse Mautu,dSBsNeYqh-k,0.0,2019-11-07 16:09:15,True,True
2019-11-07T16:09:31,Interesting..... 😮😮😮😮,1,0,Ali Balouch,dSBsNeYqh-k,0.5,2019-11-07 16:09:31,True,True
2019-11-07T16:09:31,Remember when this was originally part of the short-lived Dark Universe?,5,0,Mr Bamason,dSBsNeYqh-k,0.1125,2019-11-07 16:09:31,True,True
2019-11-07T16:09:34,It's Going to be blockbuster Thriller Movie,0,0,Sugunakar Jannu,dSBsNeYqh-k,0.0,2019-11-07 16:09:34,True,True
2019-11-07T16:09:43,Is he translucent?😂 The boys would blow him up from ass up😂🔥,1,0,Generator Rex,dSBsNeYqh-k,0.0,2019-11-07 16:09:43,True,True
2019-11-07T16:09:45,"Imagine while they are acting,the actors are just talking to the air while making this film ,im really curious how the fight scenes work.......lol",364,15,KING of KINGS,dSBsNeYqh-k,-0.1,2019-11-07 16:09:45,True,True
2019-11-07T16:10:04,I know this will get lost in the comment section.. But I really enjoy fisting my nipples.,1,0,NitroCorn,dSBsNeYqh-k,0.4,2019-11-07 16:10:04,True,True
2019-11-07T16:10:04,I'm at least intrigued.,0,0,Paladin Demo,dSBsNeYqh-k,-0.3,2019-11-07 16:10:04,True,True
2019-11-07T16:10:11,John Cena Biopic?!?,0,0,Eric Windsor,dSBsNeYqh-k,0.0,2019-11-07 16:10:11,True,True
2019-11-07T16:10:13,Hindi dubbed?,0,0,shubhendu nayak,dSBsNeYqh-k,0.0,2019-11-07 16:10:13,True,True
2019-11-07T16:10:15,It's incredible how trailers now become spoilers,61,5,Egwu Victor,dSBsNeYqh-k,0.9,2019-11-07 16:10:15,True,True
2019-11-07T16:10:20,This is the Invisible Man that we deserve in a way that the Dark Universe needs. Please let it be great! 🙏,100,20,Stephanie Franco,dSBsNeYqh-k,0.425,2019-11-07 16:10:20,True,True
2019-11-07T16:10:26,I'm really hoping the big twist is that she's actually mentally insane lmao,67,11,White Wolf Ozy,dSBsNeYqh-k,-0.05000000000000002,2019-11-07 16:10:26,True,True
2019-11-07T16:10:33,Is this part of the dark universe or not? I don't know it looks really good,3,6,The Best I Can Explain,dSBsNeYqh-k,0.27499999999999997,2019-11-07 16:10:33,True,True
2019-11-07T16:10:44,More and more R RATED films please!!!!,0,0,J. Rambo,dSBsNeYqh-k,0.75,2019-11-07 16:10:44,True,True
2019-11-07T16:10:50,Almost a movie with fast cuts,1,0,Kapoor I,dSBsNeYqh-k,0.2,2019-11-07 16:10:50,True,True
2019-11-07T16:10:52,Elizabeth 🙌🙌🙌🙌🙌🙌🙌🙌❤,0,0,KHALEESI 2.0,dSBsNeYqh-k,0.0,2019-11-07 16:10:52,True,True
2019-11-07T16:10:55,This is scarier than Hollow Man.,28,4,Chi chan,dSBsNeYqh-k,-0.1,2019-11-07 16:10:55,True,True
2019-11-07T16:11:05,"Is this the new Dark Universe movie? God damn, this looks generic as hell. Just like every modern day ""horror"" film. A series of jump-scares with a loose plot. If this is the direction of the ""Dark Universe"" now, then it's even worse than Mummy 2017.",1,0,Wes Papes,dSBsNeYqh-k,-0.06293706293706294,2019-11-07 16:11:05,True,True
2019-11-07T16:11:21,*i thing brad pitt is a invisible man🤣🤣*,0,1,Bijan Halder,dSBsNeYqh-k,0.0,2019-11-07 16:11:21,True,True
2019-11-07T16:11:52,Universal Pictures: You didn't see that coming?.jpg,289,3,AaronCF,dSBsNeYqh-k,0.0,2019-11-07 16:11:52,True,True
2019-11-07T16:11:59,"""You're CRAZY to know who I am, don't you? All right. I'll SHOW YOU!!!!"" I loved the 1933 film. I can't wait to see how this remake will compare to the original!!!",77,5,Dragon Soul,dSBsNeYqh-k,0.3824916294642857,2019-11-07 16:11:59,True,True
2019-11-07T16:12:16,Any fans of HOLLOW MAN here???? I enjoyed that one,0,0,J. Rambo,dSBsNeYqh-k,0.2,2019-11-07 16:12:16,True,True
2019-11-07T16:12:22,ELISABETH FUCKING MOSS,0,0,Vitória Carvalho,dSBsNeYqh-k,-0.6,2019-11-07 16:12:22,True,True
2019-11-07T16:12:35,"_""I never blame anyone. It's quite out of fashion.""_  *~ H.G. Wells (The Invisible Man)*",460,5,Mr. Friendship,dSBsNeYqh-k,0.0,2019-11-07 16:12:35,True,True
2019-11-07T16:12:50,the whole movie is in this trailer! are u kidding me?,18,11,טריילרים זאת אומנות,dSBsNeYqh-k,0.25,2019-11-07 16:12:50,True,True
2019-11-07T16:12:59,"I like it when movies take a new turn on their source material, but it looks like they didn’t look at anything about the invisible man before making this movie at all.",0,0,J N,dSBsNeYqh-k,0.13636363636363635,2019-11-07 16:12:59,True,True
2019-11-07T16:13:05,"Wonder if this could be the start of the Dark Universe. I was actually interested in it after I watched The Mummy, not as bad as many people make it out to be.",0,1,Blue Jay,dSBsNeYqh-k,-0.024999999999999967,2019-11-07 16:13:05,True,True
2019-11-07T16:13:09,Be happy its not PG13 shit...lets enjoy,0,0,J. Rambo,dSBsNeYqh-k,0.6000000000000001,2019-11-07 16:13:09,True,True
2019-11-07T16:13:29,Do I wrongly remember that this movie is supposed to take place in The Dark Universe (which supposedly started as a movie series from The Mummy 2017),7,3,Kishan Bhatt,dSBsNeYqh-k,-0.325,2019-11-07 16:13:29,True,True
2019-11-07T16:13:33,Looks really good I am actually excited to see this.  Like if you are going to see this or like for just the heck of it,24,1,Ironfuries Realm,dSBsNeYqh-k,0.5375,2019-11-07 16:13:33,True,True
2019-11-07T16:13:44,Dark Universe Movie,0,0,Ujjwal !,dSBsNeYqh-k,-0.15,2019-11-07 16:13:44,True,True
2019-11-07T16:13:47,Looks like dark universe just got yeeted,0,0,Sean Palpatine,dSBsNeYqh-k,-0.15,2019-11-07 16:13:47,True,True
2019-11-07T16:13:57,The invisible man is so cool 😎 I  wish I can Turn invisible with powers,0,0,Xboxfan2000 Jones,dSBsNeYqh-k,0.35,2019-11-07 16:13:57,True,True
2019-11-07T16:14:13,wheres russel and tom? The mummy is the best,1,0,James Bell,dSBsNeYqh-k,1.0,2019-11-07 16:14:13,True,True
2019-11-07T16:14:28,Now atleast this is a movie 😩,0,0,kevin katz,dSBsNeYqh-k,0.0,2019-11-07 16:14:28,True,True
2019-11-07T16:14:32,The greatest one,0,0,SB.25 CONTENT,dSBsNeYqh-k,1.0,2019-11-07 16:14:32,True,True
2019-11-07T16:14:41,Don't fuck this one up like with Mummy,0,0,Jake Bryant,dSBsNeYqh-k,-0.4,2019-11-07 16:14:41,True,True
2019-11-07T16:14:44,This is dumb. Just get thermal googles or whatever.,2,0,Jarell Levingston,dSBsNeYqh-k,-0.375,2019-11-07 16:14:44,True,True
2019-11-07T16:14:51,"Normally, I would be looking forward to a live representation of the novel, but this looks amazing!",0,1,Nyla The Mystical Cat,dSBsNeYqh-k,0.3454545454545455,2019-11-07 16:14:51,True,True
2019-11-07T16:14:52,I thought it was based on hg wells' novel,2,0,Sachin mathpathi,dSBsNeYqh-k,0.0,2019-11-07 16:14:52,True,True
2019-11-07T16:15:07,Oh boy I thought this was a Dark Universe sequel,0,0,Smith Wesson,dSBsNeYqh-k,-0.15,2019-11-07 16:15:07,True,True
2019-11-07T16:15:14,R RATED Dark Universe??? Seem like a better idea to me!!! So its back on track possibly,0,0,J. Rambo,dSBsNeYqh-k,0.206640625,2019-11-07 16:15:14,True,True
2019-11-07T16:15:28,Oy to the vey.,0,0,JS Wooten,dSBsNeYqh-k,0.0,2019-11-07 16:15:28,True,True
