timestamp,text,like_count,reply_count,author,trailer_id,sentiment_score,datetime,used_for_model,used_for_visualization
2018-01-24T15:46:11,Shit gonna be hype af✊,0,0,EpitomeOfStupidity,8BAhwgjMvnM,-0.2,2018-01-24 15:46:11,True,True
2018-01-24T15:46:23,Awesome!!! Can't wait!!!,0,0,Josh K,8BAhwgjMvnM,1.0,2018-01-24 15:46:23,True,True
2018-01-24T15:47:20,bro can't wait for this,0,0,Dylan,8BAhwgjMvnM,0.0,2018-01-24 15:47:20,True,True
2018-01-24T15:47:34,When you are the 4th like On a trailer,3,0,Floppy Florps Productions,8BAhwgjMvnM,0.0,2018-01-24 15:47:34,True,True
2018-01-24T15:48:07,i feel so exclusive,15,0,SassySquatchGaming,8BAhwgjMvnM,0.0,2018-01-24 15:48:07,True,True
2018-01-24T15:48:46,Awesome I feel exclusive !!,15,2,marcos orta,8BAhwgjMvnM,1.0,2018-01-24 15:48:46,True,True
2018-01-24T15:49:08,Thanks gamestop 😂😂😂,0,0,tenyearvet,8BAhwgjMvnM,0.2,2018-01-24 15:49:08,True,True
2018-01-24T15:49:14,"I'm glad I signed up to get texts for this, this movie is gonna be amazing",150,4,The Memeatory,8BAhwgjMvnM,0.55,2018-01-24 15:49:14,True,True
2018-01-24T15:49:23,"Don't watch it, gives away too much",67,13,evan alexander,8BAhwgjMvnM,0.2,2018-01-24 15:49:23,True,True
2018-01-24T15:50:10,"I literally cannot wait for this movie, I need it now.",21,0,Tube Dweller,8BAhwgjMvnM,0.0,2018-01-24 15:50:10,True,True
2018-01-24T15:50:24,So freakin epic,10,0,Floppy Florps Productions,8BAhwgjMvnM,0.1,2018-01-24 15:50:24,True,True
2018-01-24T15:51:17,"Been waiting for this since the first film, can't wait!   *starts up pc plugs in steel battalion pannel and loads mechwarrior online*",35,3,dante319,8BAhwgjMvnM,0.3125,2018-01-24 15:51:17,True,True
2018-01-24T15:51:27,Can't wait,0,0,Christopher St.Arnold,8BAhwgjMvnM,0.0,2018-01-24 15:51:27,True,True
2018-01-24T15:52:06,"So excited for this movie have been waiting for ages, although I feel like they heard comments on the first movie and was like fine here are some dam swords",70,2,madmason14,8BAhwgjMvnM,0.34722222222222227,2018-01-24 15:52:06,True,True
2018-01-24T15:53:15,YO I CANT WAIT !!!! We ready!,0,0,Miss Horizon,8BAhwgjMvnM,0.25,2018-01-24 15:53:15,True,True
2018-01-24T15:53:46,This looks so SICK!!!!!!!!!!!!,0,0,Ben Kuo,8BAhwgjMvnM,-1.0,2018-01-24 15:53:46,True,True
2018-01-24T15:54:20,Jaeger Vs Jaeger.... I am intrigued,0,0,The Voice 106.7,8BAhwgjMvnM,0.0,2018-01-24 15:54:20,True,True
2018-01-24T15:55:42,Love this I can't wait to watch it ...imax here I come .....I want a Jager so bad ...lol,0,0,David Keller,8BAhwgjMvnM,-0.09999999999999992,2018-01-24 15:55:42,True,True
2018-01-24T15:55:43,Trash,41,2,Moonbit,8BAhwgjMvnM,0.0,2018-01-24 15:55:43,True,True
2018-01-24T15:57:58,Would you rather die in a Kaiju-themed party or rocket punching a Kaiju in a Jaeger from orbit???!!!!!!!,15,1,SCE 2045,8BAhwgjMvnM,0.0,2018-01-24 15:57:58,True,True
2018-01-24T15:57:59,"Looks great, except the cheesy looking shot panning",4,0,PePeIn4k,8BAhwgjMvnM,0.15000000000000002,2018-01-24 15:57:59,True,True
2018-01-24T15:59:07,Can't wait to introduce my girlfriend to the epicness of pacific rim,14,8,Evan Stedman,8BAhwgjMvnM,0.0,2018-01-24 15:59:07,True,True
2018-01-24T15:59:54,Yes please.,0,0,Planet Nestor,8BAhwgjMvnM,0.0,2018-01-24 15:59:54,True,True
2018-01-24T16:00:30,It's coming out on my birthday Happy Birthday to me!!!!!,0,0,Brian Herrera,8BAhwgjMvnM,1.0,2018-01-24 16:00:30,True,True
2018-01-24T16:01:50,"Fuck the haters, this is going to be amazing! Pure action!",0,0,VIZIN,8BAhwgjMvnM,0.1723214285714286,2018-01-24 16:01:50,True,True
2018-01-24T16:02:07,Too childish. And lack of style. I'll go rewatch first one.,37,3,Wade Wilson,8BAhwgjMvnM,0.024999999999999994,2018-01-24 16:02:07,True,True
2018-01-24T16:02:50,Who's in the Jaeger texting club? Lol,221,12,Gojira5400,8BAhwgjMvnM,0.8,2018-01-24 16:02:50,True,True
2018-01-24T16:03:05,I been waiting sooooo damn long,0,0,Raul Ruiz,8BAhwgjMvnM,-0.05,2018-01-24 16:03:05,True,True
2018-01-24T16:03:11,And people said Superman v Zodd was careless... xD,227,18,Lac El,8BAhwgjMvnM,-0.5,2018-01-24 16:03:11,True,True
2018-01-24T16:03:29,Looks like a great *LITTY* and *RAUNCHY* film for the fans,2,0,TadpoleGaming,8BAhwgjMvnM,0.15000000000000002,2018-01-24 16:03:29,True,True
2018-01-24T16:04:40,Thank god they’re making more,0,0,MrARGraham,8BAhwgjMvnM,0.5,2018-01-24 16:04:40,True,True
2018-01-24T16:04:59,Jaeger pilots DO YOU KNO DE WEY?,14,1,Narbacular Drop,8BAhwgjMvnM,0.0,2018-01-24 16:04:59,True,True
2018-01-24T16:05:32,This movie looks awesome but it feels like a Power Rangers movie even though there's an actual Power Rangers movie its weird right?,10,2,gojiralagan 1995,8BAhwgjMvnM,0.19642857142857142,2018-01-24 16:05:32,True,True
2018-01-24T16:05:36,The trailer & music is LIT!!!!!! This is what the Transformers movies should've been,77,21,Ella2000 Rogers,8BAhwgjMvnM,0.0,2018-01-24 16:05:36,True,True
2018-01-24T16:06:40,I am waiting,11,0,sathish kumar,8BAhwgjMvnM,0.0,2018-01-24 16:06:40,True,True
2018-01-24T16:06:45,Looks epic!!!,7,0,André Garza,8BAhwgjMvnM,0.1953125,2018-01-24 16:06:45,True,True
2018-01-24T16:07:19,this is amazing,22,0,alpha vinterium,8BAhwgjMvnM,0.6000000000000001,2018-01-24 16:07:19,True,True
2018-01-24T16:07:49,Pacific Rim 3 (2020),7,3,Joker Batman,8BAhwgjMvnM,0.0,2018-01-24 16:07:49,True,True
2018-01-24T16:08:25,BOY I AM READY,0,0,Xypod,8BAhwgjMvnM,0.2,2018-01-24 16:08:25,True,True
2018-01-24T16:08:47,"Somebody let them in, somebody fro OUR world.....yeah no shit LMAO",0,0,ThaLiveKing,8BAhwgjMvnM,0.35,2018-01-24 16:08:47,True,True
2018-01-24T16:09:01,lit as fuck,0,0,Arthur Stickney,8BAhwgjMvnM,-0.4,2018-01-24 16:09:01,True,True
2018-01-24T16:10:01,My hype meter just broke,32,2,svik71,8BAhwgjMvnM,0.0,2018-01-24 16:10:01,True,True
2018-01-24T16:10:11,Show too much but  awesome trailer.,0,0,Michael Cullen,8BAhwgjMvnM,0.6,2018-01-24 16:10:11,True,True
2018-01-24T16:10:23,I've never cringed so hard,0,0,TK·MAX,8BAhwgjMvnM,-0.2916666666666667,2018-01-24 16:10:23,True,True
2018-01-24T16:11:11,GIANT ROBOOOOOOOTSSSS,2,0,Unfaithful Servant,8BAhwgjMvnM,0.0,2018-01-24 16:11:11,True,True
2018-01-24T16:11:35,I hope one of the kids gets eaten! Hell why not all of them!,0,0,3am cudi,8BAhwgjMvnM,0.0,2018-01-24 16:11:35,True,True
2018-01-24T16:12:07,hope this film does good otherwise no sequels to watch,0,0,Fahad Rahman,8BAhwgjMvnM,0.7,2018-01-24 16:12:07,True,True
2018-01-24T16:12:31,That was even better than the first trailer!,0,0,Ciaran Mcloughlin,8BAhwgjMvnM,0.40625,2018-01-24 16:12:31,True,True
