timestamp,text,like_count,reply_count,author,trailer_id,sentiment_score,datetime,used_for_model,used_for_visualization
2017-11-07T16:48:37,why ?,124,10,Dihya Never Forget,zC9b1orltc8,0.0,2017-11-07 16:48:37,True,True
2017-11-07T16:49:32,another toy story ripoff ....great,49,13,Dihya Never Forget,zC9b1orltc8,0.0,2017-11-07 16:49:32,True,True
2017-11-07T16:53:23,"I think, I think I can here the money cascading away from this grab.",2,0,Toby Lord,zC9b1orltc8,0.0,2017-11-07 16:53:23,True,True
2017-11-07T17:00:41,121 viewer,0,0,MD. Sayem,zC9b1orltc8,0.0,2017-11-07 17:00:41,True,True
2017-11-07T17:04:36,#JacksfilmsSquad,0,0,Dang Itshere / Rafif D.,zC9b1orltc8,0.0,2017-11-07 17:04:36,True,True
2017-11-07T17:08:05,Who even asked for a sequal? The original is so forgettable,221,23,Bruhsonictehhedgie OFFICIAL,zC9b1orltc8,-0.0625,2017-11-07 17:08:05,True,True
2017-11-07T17:17:40,Toy story 4 looks great,124,2,Falah Alifandi,zC9b1orltc8,0.8,2017-11-07 17:17:40,True,True
2017-11-07T17:19:15,No Ship Sherlock😳😂,1007,19,AwesomeGuy Peter,zC9b1orltc8,0.0,2017-11-07 17:19:15,True,True
2017-11-07T17:26:07,no one asked for this,8,3,MARIOX75,zC9b1orltc8,0.0,2017-11-07 17:26:07,True,True
2017-11-07T17:33:49,A sequel??? Wtf?? Wow,4,1,José David Catemac,zC9b1orltc8,-0.2,2017-11-07 17:33:49,True,True
2017-11-07T17:35:12,Ohh Johnny why?? Things not going well I see?,0,0,Firas Hobeishy,zC9b1orltc8,0.0,2017-11-07 17:35:12,True,True
2017-11-07T17:44:20,What moron asked for a sequel!??!?!?,287,19,Kyle Edgecomb,zC9b1orltc8,-1.0,2017-11-07 17:44:20,True,True
2017-11-07T17:53:04,"Those fart jokes, modern dance party joke and those pop culture references, they made me cringe so hard! I mean Paramount and MGM, you both need to stop that, okay?! Don't go back to the early 2000s with all the films you had to make these toilet humour and pop culture references to connect with the kids! You don't need to do that, kill that!",649,57,supermariosonic 298,zC9b1orltc8,0.02797619047619047,2017-11-07 17:53:04,True,True
2017-11-07T17:59:05,"Why did It need a sequel?, the first movie was perfectly fine.",371,24,Clank Zoka,zC9b1orltc8,0.33333333333333337,2017-11-07 17:59:05,True,True
2017-11-07T18:10:24,if Johnny Depp is in it I will watch it,105,10,Cat Li,zC9b1orltc8,0.0,2017-11-07 18:10:24,True,True
2017-11-07T18:21:58,The animation looks a lot cleaner than before.,458,7,Alex Jowanovitz,zC9b1orltc8,0.0,2017-11-07 18:21:58,True,True
2017-11-07T18:52:16,"So many clichées in one trailer, woah",0,0,"I am sorbitol, Maltitol, xylitol, mannitol, Calcium",zC9b1orltc8,0.5,2017-11-07 18:52:16,True,True
2017-11-07T19:16:42,oh my freaking god        this is terrible,60,5,willie t.,zC9b1orltc8,-1.0,2017-11-07 19:16:42,True,True
2017-11-07T19:20:51,NO SHIP SHERLOCK,4,0,Random stuff Happens here,zC9b1orltc8,0.0,2017-11-07 19:20:51,True,True
2017-11-07T19:20:55,Oh my goodness this looks bad.... Also they should have just released this movie about 5 years ago and maybe it would have been better because for a sequel this has a very long gap of time since the first one.,0,1,Victor Delvalle,zC9b1orltc8,-0.0037499999999999617,2017-11-07 19:20:55,True,True
2017-11-07T19:27:24,Ah fart jokes. I can't contain myself they're so funny🙄,0,1,Shark Team,zC9b1orltc8,0.0,2017-11-07 19:27:24,True,True
2017-11-07T19:32:59,Who asked for Gnomes? Sherlock tell me now.,0,0,Carlos Alberto,zC9b1orltc8,0.0,2017-11-07 19:32:59,True,True
2017-11-07T19:43:51,Johny Depp what hapened to yu? I know that Piraes 6 suckeed but i didnt know you needed money that badly.,0,1,Mauricio Merida,zC9b1orltc8,-0.6999999999999998,2017-11-07 19:43:51,True,True
2017-11-07T19:45:11,"This is going to turn into the next emoji movie, I can feel it",210,60,bum,zC9b1orltc8,0.0,2017-11-07 19:45:11,True,True
2017-11-07T19:47:52,I thought they were by touchstone,0,1,Art Fun with Blake,zC9b1orltc8,0.0,2017-11-07 19:47:52,True,True
2017-11-07T19:55:40,The emoji movie of 2018,0,0,Michael John,zC9b1orltc8,0.0,2017-11-07 19:55:40,True,True
2017-11-07T20:02:47,So excited omg,1,0,JC 120,zC9b1orltc8,0.375,2017-11-07 20:02:47,True,True
2017-11-07T20:15:58,The amount of dirty jokes in this trailer is too high,904,18,DAT BOI,zC9b1orltc8,-0.21999999999999997,2017-11-07 20:15:58,True,True
2017-11-07T20:21:43,2:05 THICC,2,3,Tiisto,zC9b1orltc8,0.0,2017-11-07 20:21:43,True,True
2017-11-07T20:30:47,Emily Blunt AND Johnny Depp?! This is crazy... and AWESOME!,166,9,Reilly Kuhn,zC9b1orltc8,0.2,2017-11-07 20:30:47,True,True
2017-11-07T21:57:45,No.,0,1,Squib 64,zC9b1orltc8,0.0,2017-11-07 21:57:45,True,True
2017-11-07T22:02:25,Why.,0,2,Mellieme,zC9b1orltc8,0.0,2017-11-07 22:02:25,True,True
2017-11-07T22:10:06,No dips Sherlock😅,0,0,xJAYxV,zC9b1orltc8,0.0,2017-11-07 22:10:06,True,True
2017-11-07T22:38:12,Still looks better than Peter Rabbit,634,34,J Greg,zC9b1orltc8,0.5,2017-11-07 22:38:12,True,True
2017-11-07T23:01:28,God has blessed us with this movie,43,4,Cooper,zC9b1orltc8,0.0,2017-11-07 23:01:28,True,True
2017-11-07T23:16:10,"I have one question about the final name of the film,Why is the gnomeo and Juliet name not in the sequel name?,but there's hope for the sequel because it has the same director of Kung fu panda and also it's sad touchstone pictures didn't return as the distributor on the sequel but at least this is going to be the first MGM 3D Animated film since Igor (which that film came out 10 years ago)",0,0,Mr.Feather130,zC9b1orltc8,-0.11000000000000001,2017-11-07 23:16:10,True,True
2017-11-07T23:16:32,did anyone ask for this,13,4,boredacious,zC9b1orltc8,0.0,2017-11-07 23:16:32,True,True
2017-11-07T23:43:00,"No Ship, Sherlock. 🤣",610,21,Alberto Productions,zC9b1orltc8,0.0,2017-11-07 23:43:00,True,True
2017-11-07T23:48:26,It has a toy story and flushed away feel to it,28,2,Bobby Stephen,zC9b1orltc8,0.0,2017-11-07 23:48:26,True,True
2017-11-08T00:23:41,I don't want to see this movie because they took a great move (gnomio and Juliet) and made a newer and more complex and more characters and I think it is just pointless,0,0,uvuv vuvu,zC9b1orltc8,0.25,2017-11-08 00:23:41,True,True
2017-11-08T00:42:59,I was waiting for this......,3,0,The Funny Risk,zC9b1orltc8,0.0,2017-11-08 00:42:59,True,True
2017-11-08T01:03:08,Aye👶🏻,0,0,Juanis,zC9b1orltc8,0.0,2017-11-08 01:03:08,True,True
2017-11-08T01:37:03,Looks like this movie is 99% gnome puns,0,0,Jberto Cruz,zC9b1orltc8,0.0,2017-11-08 01:37:03,True,True
2017-11-08T01:44:33,I wish I could tell you this ..,0,0,Faisal,zC9b1orltc8,0.0,2017-11-08 01:44:33,True,True
2017-11-08T01:46:51,Oh heck yes,6,0,lily fr fr,zC9b1orltc8,0.0,2017-11-08 01:46:51,True,True
2017-11-08T01:55:04,I legit snorted at ‘no ship Sherlock’ 😂😂😂,178,5,Imo,zC9b1orltc8,0.0,2017-11-08 01:55:04,True,True
2017-11-08T02:03:07,m maybe the only one who liked the 1st movie,0,0,Movies Now,zC9b1orltc8,0.3,2017-11-08 02:03:07,True,True
2017-11-08T02:04:42,"The first movie gave me a migraine, this movie looks like it'll give me a stroke.",112,3,Michael,zC9b1orltc8,0.25,2017-11-08 02:04:42,True,True
2017-11-08T02:22:05,"The first movie was very cute and well done, but THIS?! Sherlock Gnomes? Seriously?! Couldn't they have at least tried to think of something decent? As much as I love the original characters, I'm afraid the only thing this movie has going for it is the ""no ship Sherlock"". I smell another emoji movie flop....",0,0,TikTokToxic,zC9b1orltc8,0.08750000000000002,2017-11-08 02:22:05,True,True
2017-11-08T02:26:31,Please spare me,0,0,Blakachu XL,zC9b1orltc8,0.0,2017-11-08 02:26:31,True,True
2017-11-08T02:56:34,"""No Ship Sherlock"", probably the one thing I laughed at in this trailer.",58,3,Joe Yaroch,zC9b1orltc8,0.7,2017-11-08 02:56:34,True,True
2017-11-08T03:32:44,"People need to stop trying to compare this to the Emoji Movie for real at least give it a chance. I actually didn't think the Emoji Movie was that bad, I can name a lot more movies cringer then that",9,10,QueenUmbreon 14*,zC9b1orltc8,-0.16249999999999998,2017-11-08 03:32:44,True,True
2017-11-08T03:55:36,I might watch this because of the pug,3,0,Callum B,zC9b1orltc8,0.0,2017-11-08 03:55:36,True,True
2017-11-08T04:47:17,does anyone else think Mary j blige's character is kind of hot.,0,0,Apollo,zC9b1orltc8,0.425,2017-11-08 04:47:17,True,True
2017-11-08T04:48:11,they made a movie about keemstar,40,3,Hyun Kim,zC9b1orltc8,0.0,2017-11-08 04:48:11,True,True
2017-11-08T04:48:55,Professor Xavier is Gnomeo and Jack Sparrow is Sherlock Gnomes,28,1,Nathaniel Clarin,zC9b1orltc8,0.0,2017-11-08 04:48:55,True,True
2017-11-08T05:28:06,I always wanted Johnny Depp to play Sherlock..,707,12,V Sen,zC9b1orltc8,0.0,2017-11-08 05:28:06,True,True
2017-11-08T05:42:52,This brings back memories,46,2,Eli K,zC9b1orltc8,0.0,2017-11-08 05:42:52,True,True
2017-11-08T05:52:04,N o  s h i p  s he r l o c k   what the fertilizer,3,0,Spooky Violin,zC9b1orltc8,0.0,2017-11-08 05:52:04,True,True
2017-11-08T06:15:48,OK I could totally tell that was Johnny Depp sounds just like Jack Sparrow but less drunk,0,0,Chloe Ravenclaw,zC9b1orltc8,-0.04166666666666666,2017-11-08 06:15:48,True,True
2017-11-08T07:11:52,"I liked the first movie, I'm not a fan of part 2 cartoon movies but the amount of hilarious adult humor in this makes me want to see it.",0,0,Tomorrow’s Mars,zC9b1orltc8,0.36250000000000004,2017-11-08 07:11:52,True,True
2017-11-08T07:23:17,HOW IS THIS A FRANCHISE,0,0,Mitchell Abercrombie,zC9b1orltc8,0.0,2017-11-08 07:23:17,True,True
2017-11-08T12:50:40,What the fffffffertiliser- not a kids movie no longer!,374,12,Ineffable Films,zC9b1orltc8,0.0,2017-11-08 12:50:40,True,True
2017-11-08T13:40:22,Gnomeo and juliet was good enough...,29,1,ChimChim Sexual,zC9b1orltc8,0.35,2017-11-08 13:40:22,True,True
2017-11-08T14:05:00,no on asked for this,0,0,Qak The Silence,zC9b1orltc8,0.0,2017-11-08 14:05:00,True,True
2017-11-08T14:37:49,ITS BEEN 84 YEARS,0,0,leslie,zC9b1orltc8,0.0,2017-11-08 14:37:49,True,True
2017-11-08T15:51:03,is the call me doll still in it?,0,0,the pokemongamer33,zC9b1orltc8,0.0,2017-11-08 15:51:03,True,True
2017-11-08T16:05:59,"ok this looks stupid to me, but they did the no 'ship' sherlcock thing",0,0,Elizabeth Hughes,zC9b1orltc8,-0.14999999999999997,2017-11-08 16:05:59,True,True
2017-11-08T16:25:20,oh what bullshit,0,0,c burner,zC9b1orltc8,0.0,2017-11-08 16:25:20,True,True
2017-11-08T17:19:36,"Johnny Deep, you can do better. 目を覚まして目を覚ます💯",4,3,King Papi,zC9b1orltc8,0.25,2017-11-08 17:19:36,True,True
2017-11-08T17:29:30,no ship Sherlock,3,0,Aaliyah Givens,zC9b1orltc8,0.0,2017-11-08 17:29:30,True,True
2017-11-08T17:30:18,Oh Johnny Depp..,6,0,Molly Rose,zC9b1orltc8,0.0,2017-11-08 17:30:18,True,True
2017-11-08T17:39:31,no one asked for this,1,3,First Name Last Name,zC9b1orltc8,0.0,2017-11-08 17:39:31,True,True
2017-11-08T17:46:12,"When the fart joke is the funniest part, you know this is going to be a hit.",128,3,Ryne Drogemuller,zC9b1orltc8,0.0,2017-11-08 17:46:12,True,True
2017-11-08T17:48:07,......................gno,0,0,Lou P,zC9b1orltc8,0.0,2017-11-08 17:48:07,True,True
