timestamp,text,like_count,reply_count,author,trailer_id,sentiment_score,datetime,used_for_model,used_for_visualization
2018-03-21T18:58:16,Is this a sequel to Ghostbusters (2016)?,66,5,PlasmaKong2,OZsYiWBgFOk,0.0,2018-03-21 18:58:16,True,True
2018-03-21T19:04:01,Yah baby yeah! (Austin powers voice),0,0,Dezmond Parsons,OZsYiWBgFOk,0.0,2018-03-21 19:04:01,True,True
2018-03-21T19:05:19,"What about making Red 3, Dredd 2, Divergent: Ascendant, & Power Rangers 2? We want these more than this movie.",20,7,AVO Channel: Adrian Val Olonan,OZsYiWBgFOk,0.25,2018-03-21 19:05:19,True,True
2018-03-21T19:07:02,omg lmaooooo i actually really wanna see this love both mila and kate,393,6,harrison,OZsYiWBgFOk,0.35,2018-03-21 19:07:02,True,True
2018-03-21T19:07:53,"Plot twist, they become gay at the end of the film",859,31,Misha Kastrilevich,OZsYiWBgFOk,0.4166666666666667,2018-03-21 19:07:53,True,True
2018-03-21T19:08:39,thought this was going to be Austin powers from the title,0,0,Yūki Terumi,OZsYiWBgFOk,0.0,2018-03-21 19:08:39,True,True
2018-03-21T19:12:35,Wait is this a Austin powers remake?,3,3,Titan Nation13,OZsYiWBgFOk,0.0,2018-03-21 19:12:35,True,True
2018-03-21T19:14:04,Mila is getting old you can see her wrinkles,15,13,Corey Poublon,OZsYiWBgFOk,0.1,2018-03-21 19:14:04,True,True
2018-03-21T19:14:49,lol,0,0,Sperdie,OZsYiWBgFOk,0.8,2018-03-21 19:14:49,True,True
2018-03-21T19:19:01,"Honestly, I just want to know what that song is.",43,18,Noah Pappas,OZsYiWBgFOk,0.6,2018-03-21 19:19:01,True,True
2018-03-21T19:26:41,Wait so is this about best friends or lovers?,17,4,Harper Levin,OZsYiWBgFOk,1.0,2018-03-21 19:26:41,True,True
2018-03-21T20:20:18,Wonderful video!,0,0,Sergio Abel Reginatto,OZsYiWBgFOk,1.0,2018-03-21 20:20:18,True,True
2018-03-21T20:45:49,I'm just glad that Kate is not going to be starring in another Ghostbusters movie blah hahaha,10,0,Brandon Graham,OZsYiWBgFOk,0.35,2018-03-21 20:45:49,True,True
2018-03-21T20:47:12,only gonna watch cuz mila kunis is fucking smoking hot,0,0,B-Mac,OZsYiWBgFOk,-0.11666666666666665,2018-03-21 20:47:12,True,True
2018-03-21T21:20:05,"I'm really hoping this isn't going to be another ""atomic blonde"" which atomic bombed. (Sorry I had to) This does look really funny however, especially the minion bit!",0,1,Old *SS Account,OZsYiWBgFOk,-0.009999999999999998,2018-03-21 21:20:05,True,True
2018-03-21T21:46:35,Sam Heughan <3,49,0,Andrijana Nikolic,OZsYiWBgFOk,1.0,2018-03-21 21:46:35,True,True
2018-03-21T22:07:09,Got to the end of the trailer and realized it was a comedy.,0,0,Do It Right!,OZsYiWBgFOk,0.0,2018-03-21 22:07:09,True,True
2018-03-21T22:24:31,Michael Buble <3,167,4,Alaina da Costa,OZsYiWBgFOk,1.0,2018-03-21 22:24:31,True,True
2018-03-21T22:52:53,If its rated R I'm in.,392,10,TheSacko,OZsYiWBgFOk,0.0,2018-03-21 22:52:53,True,True
2018-03-21T23:51:48,"I'm not super enthused. I dunno, parts looked promising, but some of the jokes felt kinda cheep. It always seems like they try.... too hard in the wrong direction when making a comedy with primarily female characters. Like, I feel like Hollywood is where the stupid ""women aren't funny"" bias comes from, and they feel like they have to do all the ""safe"" comedic mainstays and hit all of the relevant shit to make it work. Why is that where we are? Where like, writers are just checking off the boxes?",132,22,G_Odu Of the North,OZsYiWBgFOk,-0.060833333333333316,2018-03-21 23:51:48,True,True
2018-03-21T23:59:04,I love this song,0,0,Lilbit Edwards,OZsYiWBgFOk,0.5,2018-03-21 23:59:04,True,True
2018-03-22T00:09:32,A film I never thought I needed to see until now,161,11,tromboner2012,OZsYiWBgFOk,0.0,2018-03-22 00:09:32,True,True
2018-03-22T00:44:04,"Unoriginal, feminist, lame jokes, women screaming. It will suck and i don't have to even watch it to know how bad this movie will be.",0,0,Polo Surf,OZsYiWBgFOk,-0.4666666666666666,2018-03-22 00:44:04,True,True
2018-03-22T00:51:39,Sorry i pass....The movie i will dump this summer!,30,0,Martin JTR,OZsYiWBgFOk,-0.625,2018-03-22 00:51:39,True,True
2018-03-22T01:35:55,istg Kate is a fucking genius. cant wait,100,10,rebster89,OZsYiWBgFOk,-0.6,2018-03-22 01:35:55,True,True
2018-03-22T01:49:56,this looks so awesome.,1,0,Pag-ibig Dalisay,OZsYiWBgFOk,1.0,2018-03-22 01:49:56,True,True
2018-03-22T02:19:41,Is Hollywood pushing Ivanna Sakhno to be the next Ruby Rose?,3,0,inlpwetrust,OZsYiWBgFOk,0.3,2018-03-22 02:19:41,True,True
2018-03-22T02:40:00,"It may get to the point when women will be banned from appearing in movies altogether unless they can get Helen Mirren..""Why are women, who have the whole male world at their mercy, not funny? """,0,1,Mr. Magister,OZsYiWBgFOk,0.025000000000000005,2018-03-22 02:40:00,True,True
2018-03-22T02:45:53,I think they'll run a lot in this film....,0,0,Neoner Films,OZsYiWBgFOk,0.0,2018-03-22 02:45:53,True,True
2018-03-22T02:54:57,More importantly....BUBLE.,1,0,cupid stunt,OZsYiWBgFOk,0.5,2018-03-22 02:54:57,True,True
2018-03-22T03:44:53,Anything with kate McKinnon or Mila kunis I'll watch!!!!!,7,2,leon22884,OZsYiWBgFOk,0.0,2018-03-22 03:44:53,True,True
2018-03-22T04:06:06,This sounds like a good girls night out movie!,7,0,Autumn A,OZsYiWBgFOk,0.875,2018-03-22 04:06:06,True,True
2018-03-22T04:08:19,Justin Theroux needs to get his own International assassin movie something like John wick,1,0,gnarly441,OZsYiWBgFOk,0.3,2018-03-22 04:08:19,True,True
2018-03-22T04:17:42,So Justin Theroux is not the main character.    Yeah I'm out,0,0,dominick951,OZsYiWBgFOk,0.16666666666666666,2018-03-22 04:17:42,True,True
2018-03-22T04:45:51,please don't suck movie,0,1,J,OZsYiWBgFOk,0.0,2018-03-22 04:45:51,True,True
2018-03-22T06:01:20,Why didnt Gillian Anderson get any screen time on this teaser trailer?! That was the only reason why I watched the trailer and I didnt get to see Ms. Anderson...what the heck!,38,11,enigmarocker,OZsYiWBgFOk,0.0,2018-03-22 06:01:20,True,True
2018-03-22T06:39:38,"""She googled it on my computer...and now I get a lot of WEIRD ads.""",1567,12,Mary C,OZsYiWBgFOk,-0.5,2018-03-22 06:39:38,True,True
2018-03-22T07:21:46,"The whole ""let's make movies with women casts"" thing is a phase Hollywood is going to have to learn from.  For every 1 ""Bridesmaids"" there are 10 that don't make much money, and whenever they don't, the standard line press trots out is ""sexism!""  Except it's not because of sexism, it's because (1) the movies aren't very good, and (2) no one wants to see them.  This movie actually looks funny, though.  I actually laughed at the trailer and Kate McKinnon is great.  So it might work out.",5,0,caomhan84,OZsYiWBgFOk,0.3622222222222222,2018-03-22 07:21:46,True,True
2018-03-22T07:33:57,Seems funny,0,0,ekklesiast,OZsYiWBgFOk,0.25,2018-03-22 07:33:57,True,True
2018-03-22T07:52:59,hilarious :-p,0,0,Lisa Shapiro,OZsYiWBgFOk,0.625,2018-03-22 07:52:59,True,True
2018-03-22T07:58:56,1.45...............seriously? That's supposed to be funny?,0,0,Baz The Storyteller,OZsYiWBgFOk,0.25,2018-03-22 07:58:56,True,True
2018-03-22T09:14:08,Temps,0,0,Anne Matt,OZsYiWBgFOk,0.0,2018-03-22 09:14:08,True,True
2018-03-22T09:45:53,Jane Bond flick.,0,0,Tuber 2020,OZsYiWBgFOk,0.0,2018-03-22 09:45:53,True,True
2018-03-22T10:58:36,Where is Gillian Anderson??!! I came for her!!,0,0,Ned Joseph,OZsYiWBgFOk,0.0,2018-03-22 10:58:36,True,True
2018-03-22T11:04:49,This looks nice! I'm going to watch this,1,0,Anushree Mantri,OZsYiWBgFOk,0.75,2018-03-22 11:04:49,True,True
2018-03-22T11:52:54,Just here for Sam heughan !! 😘,255,17,Fotini Kalai,OZsYiWBgFOk,0.0,2018-03-22 11:52:54,True,True
2018-03-22T14:51:25,I dislike it for mila kunis.,8,4,Justmylukc,OZsYiWBgFOk,0.0,2018-03-22 14:51:25,True,True
2018-03-22T15:07:52,this movie looks funny ass hell,1,1,Lexis Martin,OZsYiWBgFOk,0.25,2018-03-22 15:07:52,True,True
2018-03-22T15:15:25,SHUT UP MEG!,0,0,Nikolai Zydilov,OZsYiWBgFOk,0.0,2018-03-22 15:15:25,True,True
2018-03-22T16:34:22,It's prediction time again...  This is now my number 7 pick for predicted feminist flops of 2018.  1) Proud Mary (flopped) 2) Annihilation (flopped) 3) Red Sparrow (flopped) 4) A Wrinkle in Time (flopped) 5) I Feel Pretty (???) 6) Deadpool 2 (This one makes me sad) 7) The Spy Who Dumped Me (???)  It's time to wait and see!!!,6,4,Maximum Volume,OZsYiWBgFOk,0.01835937500000001,2018-03-22 16:34:22,True,True
2018-03-22T16:52:43,The spy who shagged Mila Kunis,0,0,Annoney Mouse,OZsYiWBgFOk,0.0,2018-03-22 16:52:43,True,True
2018-03-22T16:52:46,which music .???. it sound so familiar with AVICII's Feeling good ...,0,0,zEi X Dream,OZsYiWBgFOk,0.4916666666666667,2018-03-22 16:52:46,True,True
2018-03-22T17:19:05,"Ah! Si, que bagallos . . .",0,0,Fredy Vera,OZsYiWBgFOk,0.0,2018-03-22 17:19:05,True,True
2018-03-22T17:23:55,"*Shut Up, Meg*",1077,21,VHSfx,OZsYiWBgFOk,0.0,2018-03-22 17:23:55,True,True
2018-03-22T17:41:32,Kev Adams????!,0,0,Anaïs,OZsYiWBgFOk,0.0,2018-03-22 17:41:32,True,True
2018-03-22T19:39:29,"This movie is going to be seven different kinds of terrible. Seriously, what the fuck is this garbage???",1,0,Jason M,OZsYiWBgFOk,-0.43333333333333335,2018-03-22 19:39:29,True,True
2018-03-22T19:50:01,I'm here for all this,2,0,Code NY,OZsYiWBgFOk,0.0,2018-03-22 19:50:01,True,True
2018-03-22T20:06:22,Kate and Mila? I'm so f*ckin' in!,1,0,CheshireKitten90,OZsYiWBgFOk,0.0,2018-03-22 20:06:22,True,True
2018-03-22T20:10:10,"Love those two, this should be fun",0,0,Christian Koncz,OZsYiWBgFOk,0.4,2018-03-22 20:10:10,True,True
2018-03-22T20:25:43,Lmao,0,0,Eddie Sparks,OZsYiWBgFOk,0.6,2018-03-22 20:25:43,True,True
2018-03-22T20:25:44,Seems hella lame,5,0,Syrtech,OZsYiWBgFOk,-0.5,2018-03-22 20:25:44,True,True
2018-03-22T20:30:06,"If anybody's seen austin powers, you'll get the title",0,0,Dead_Meme,OZsYiWBgFOk,0.0,2018-03-22 20:30:06,True,True
2018-03-22T20:30:50,Crazy new xxxtentacion 'schizophrenia' remix: https://soundcloud.com/klawofficial/xxxtentacion-schizophrenia-rap-remix give it a shot it's really different.,0,0,FlamysRoasts,OZsYiWBgFOk,-0.15454545454545454,2018-03-22 20:30:50,True,True
2018-03-22T20:31:27,Who else thought this was an Austin Powers remake,0,0,jadon nessmith,OZsYiWBgFOk,0.0,2018-03-22 20:31:27,True,True
2018-03-22T20:32:25,Damn!,0,0,Faris Zulkifli,OZsYiWBgFOk,0.0,2018-03-22 20:32:25,True,True
2018-03-22T20:33:29,I thought they already made this movie but with Melissa McCarthy in it.,2,0,Accio Nox,OZsYiWBgFOk,0.0,2018-03-22 20:33:29,True,True
2018-03-22T20:33:51,Puke,24,0,NWO bLaCkMaGiC,OZsYiWBgFOk,0.0,2018-03-22 20:33:51,True,True
2018-03-22T20:34:20,This will be fucking hilarious,0,0,Kpie,OZsYiWBgFOk,0.5,2018-03-22 20:34:20,True,True
2018-03-22T20:35:54,I thought this was some kind of Austin Powers reboot,0,0,Chris Williams,OZsYiWBgFOk,0.6,2018-03-22 20:35:54,True,True
